danceability,energy,liveness,loudness,tempo,speechiness,valence,acousticness,cluster,id
0.403,0.891,0.0519,-8.907,88.936,0.139,0.427,0.00525,7,678Fh7cIfN1sLqxsj5sc2G
0.448,0.814,0.548,-10.641,151.23,0.0761,0.639,0.0209,15,3WnBwOHWafZOeA5BtouHo9
0.244,0.911,0.163,-8.142,170.846,0.0816,0.257,0.000197,12,2waQlcwzfmVvifFxX3O7c6
0.556,0.754,0.105,-3.56,167.849,0.206,0.797,0.00374,9,4fvCjV4omnb7JPBGuZkXvS
0.437,0.926,0.246,-7.581,123.107,0.0797,0.501,0.189,3,0Ny0jG7RiWC2aSlLPs783b
0.31,0.595,0.26,-11.809,163.415,0.0395,0.381,0.000224,0,35ickeV5eBqwfjvMZoOb3d
0.251,0.7,0.108,-6.924,191.466,0.118,0.52,0.0766,12,0sTMWWSms4Mt6vy33rdqgv
0.462,0.696,0.122,-9.525,133.027,0.04,0.0711,0.0224,0,2ZA9Sw1hq8mOaFzOiPyN71
0.429,0.914,0.436,-9.594,155.588,0.0505,0.685,0.0321,15,4AwKXevZmsTNa3KZVj3rzl
0.47,0.701,0.324,-12.691,140.968,0.0346,0.818,0.0017,10,1z9Vxm6Gij3AkTjVUlcnLT
0.345,0.811,0.357,-11.948,142.834,0.0654,0.625,0.0606,15,5mSZLysuAtdNA21mbOm0sx
0.307,0.405,0.108,-12.874,103.069,0.0294,0.126,8.59e-06,11,1B8ORiV6dLs3eEDSIj6bG6
0.315,0.467,0.0824,-11.164,153.219,0.0353,0.565,0.000482,0,3ddtDE9U6eY3UtAe7yng5n
0.322,0.874,0.0598,-4.412,165.013,0.334,0.16,0.000323,12,0XsIPXAIZzR40ztwbkOOfm
0.35,0.37,0.232,-7.509,181.429,0.0607,0.201,0.000621,0,5o3TEVzg9rSgkcUzWRysAU
0.605,0.746,0.143,-10.582,162.558,0.0656,0.675,0.045,9,1aylC3Q7hFChQY2ndh6Noj
0.58,0.9,0.101,-11.525,152.356,0.0877,0.627,0.0235,9,61dlLymwnAMwEH291wrxv2
0.724,0.729,0.777,-12.921,130.158,0.128,0.689,0.664,19,41sdE2ECDWNTGnry77CeYf
0.471,0.984,0.208,-2.127,82.871,0.177,0.569,0.00764,8,1wFQBVOhFTOlNd5NDFyyZ7
0.259,0.408,0.184,-8.194,118.473,0.0354,0.0377,0.31,11,00DVtdi8lE9em4GdOADTvH
0.305,0.79,0.153,-9.633,139.551,0.0965,0.383,0.0323,0,5zNQPB67iLm11Zyg6hwiQX
0.511,0.764,0.201,-8.729,98.643,0.0895,0.184,0.158,14,2XQpANwRhSpEh8802CF4Tb
0.456,0.862,0.0771,-7.619,141.282,0.118,0.112,6.92e-05,0,4jKOT4I90IAAXGryiHYgoy
0.467,0.696,0.149,-8.261,146.011,0.0386,0.451,0.00122,0,2XhSe48p6D020tt6y9RLTr
0.232,0.595,0.0767,-7.433,101.038,0.0317,0.0778,0.112,11,5OZB6CfEUWM0037PHmjagS
0.283,0.976,0.148,-3.734,165.551,0.0703,0.601,0.29,9,37hRxyEpopJfkEsJxNUOHQ
0.39,0.941,0.432,-8.574,86.377,0.0802,0.0901,0.0668,3,1chSboCo1Il4TNEGvgJddN
0.502,0.772,0.477,-8.114,177.581,0.19,0.681,0.324,15,0M8LFMtZSSutgquh3P4rYm
0.694,0.918,0.0986,-4.593,103.84,0.118,0.813,0.0592,8,58iS1umtslWXFwpI94UShc
0.423,0.97,0.863,-6.977,180.269,0.0946,0.638,0.0535,19,6vm2vQjHt5aSO8abLd1GAA
0.45,0.993,0.288,-7.627,138.038,0.0603,0.167,0.000568,3,48mRDxreIh69fgXycSnC3w
0.0801,0.785,0.248,-11.337,170.891,0.0674,0.121,0.0237,12,1m4ZiZAcsdjcsvajvuzt3b
0.324,0.925,0.695,-10.644,159.519,0.0612,0.502,3.85e-05,19,7yHKJKvbi5xfHj0QTWUdDT
0.263,0.967,0.0811,-5.556,156.702,0.0476,0.749,0.00504,9,7uilSLwD6eizA1Hp9SLRgO
0.811,0.92,0.0923,-4.642,137.969,0.113,0.802,0.0174,2,17yxzUcZSu3S9KyoGF0ckI
0.723,0.836,0.0709,-5.249,127.95,0.154,0.881,0.0353,2,43v9KODObXQjxm0ADkEuU6
0.646,0.335,0.0942,-16.622,117.688,0.0557,0.362,0.836,18,7c4RADJcpx7pqnuuCOVEHb
0.567,0.726,0.0579,-9.362,195.508,0.0828,0.298,0.00253,0,6WxkY3VMWE20Hj0be9bNvI
0.572,0.666,0.0975,-9.44,135.109,0.103,0.509,0.0405,0,7CgGoFIdn7miCa0yJ0Kx8P
0.594,0.808,0.0573,-8.572,104.68,0.0331,0.563,0.00192,8,32MZ4t3jmaMtCXlnr5Wjim
0.401,0.541,0.143,-3.219,99.578,0.0322,0.418,0.0131,7,5aYHJc2gaz89o9ch23e1vg
0.357,0.677,0.322,-11.743,97.222,0.0593,0.421,0.852,1,79UsyHXumEMouxczxGFXQh
0.823,0.491,0.0411,-13.037,103.181,0.26,0.77,0.0236,5,7uaBDuAejdmNPdEI5X6jql
0.867,0.567,0.418,-12.156,113.772,0.0339,0.529,0.0289,10,6GkHGeYHHA5u5j1X3kTx3h
0.568,0.945,0.0569,-2.88,135.211,0.131,0.678,0.0216,8,6kU2iL83JjeFLCfOdxwWmp
0.417,0.6,0.147,-10.142,125.57,0.0829,0.647,0.000552,8,7FXNvRQGRMAQEAN5jRYMRT
0.575,0.355,0.12,-12.681,91.131,0.0326,0.363,0.019,14,7v1Xwhn71TEesD2Hqi2ZWw
0.441,0.937,0.276,-9.707,85.51,0.0441,0.96,0.144,10,5caORzBhhmdtgcVkt55ZQU
0.565,0.679,0.0244,-2.954,123.647,0.102,0.452,0.00215,8,1HX9a1njoCFDA4gqn4VQmd
0.598,0.957,0.0819,-5.916,138.753,0.229,0.411,0.34,5,7yacxvo7EPViX0t3bPC2EO
0.359,0.949,0.211,-2.415,159.848,0.111,0.516,0.00741,12,0lG57qlnluOVF5opwFoHje
0.304,0.727,0.223,-11.464,147.391,0.046,0.325,0.623,1,5nEeZbUIGvj4fBvjKfhm6v
0.71,0.218,0.107,-8.467,101.181,0.0639,0.452,0.0172,14,1yLq2oKDib8k91xXD4YJqz
0.315,0.783,0.259,-9.359,140.826,0.0605,0.665,0.915,1,2DzQeVelAYwlyANgZa5MUw
0.539,0.664,0.255,-7.488,122.925,0.034,0.725,0.287,10,2yceqlmrK5oVEuKtpoYQxR
0.703,0.289,0.118,-14.251,142.227,0.0546,0.173,0.0355,14,5Uw6A9PqK3pPSnnfM3wAcI
0.521,0.915,0.252,-8.856,139.499,0.0872,0.779,0.0128,9,39bOphDVZ1Ewji9LmV20oJ
0.339,0.862,0.156,-10.279,177.731,0.122,0.248,0.104,12,59yj4muqAmy4HtTmbeAupC
0.776,0.57,0.109,-10.758,123.707,0.0658,0.925,0.447,2,7xNT9RzVO8AjiyRucLR25v
0.175,0.895,0.0831,-6.053,172.655,0.133,0.477,0.00289,12,7MhSRPG3isUw7vIf7Ur63Y
0.667,0.634,0.0996,-12.151,121.834,0.0428,0.901,0.247,2,3dCS8X4NMiVwr1D9j7GP1q
0.627,0.939,0.265,-10.229,93.513,0.0847,0.762,0.115,10,7JP2ZxvTYKicPnXzsTQu7W
0.645,0.893,0.165,-10.924,124.307,0.0436,0.694,0.000872,8,1DTZDOSFioucSBQmIpxFRY
0.24,0.989,0.211,-7.429,177.995,0.0638,0.964,2.49e-05,9,6WmEBUtkzkY9qtXzjyKnGc
0.845,0.716,0.16,-8.958,122.316,0.0793,0.964,0.217,2,3demHzul8c0DhkkRHKXswx
0.811,0.658,0.085,-11.625,138.815,0.0535,0.648,0.00197,2,6V9ImiaJkoLwBXEwS0NrUB
0.921,0.491,0.245,-10.97,98.098,0.144,0.762,0.00176,2,52u0UAEhO0oPknTrTQMQic
0.766,0.775,0.446,-7.45,133.6,0.0636,0.619,0.189,10,5O2L4flmyXr4rgQoQgqst2
0.686,0.673,0.0996,-11.586,173.824,0.0618,0.928,0.304,9,34R6NKHmz7WBlemuZR6HVw
0.715,0.624,0.124,-10.687,128.984,0.0518,0.656,0.0125,2,56tpeNUVHDRxzeDhbP0gck
0.494,0.711,0.184,-11.684,117.316,0.0389,0.788,0.0865,8,6se062R4fAfd4bXRjgjGta
0.682,0.78,0.0862,-9.948,115.564,0.0538,0.317,0.0114,14,6j370rNNGiu8zOnoSTioPk
0.704,0.638,0.103,-10.037,138.691,0.0839,0.896,0.000282,2,7mgaHZBHLNlxBnJ5uR64bf
0.702,0.851,0.0859,-5.92,118.004,0.0434,0.508,0.00261,8,2f1dCXUfGihoXwMl1XqUx9
0.742,0.929,0.0383,-7.468,132.844,0.0622,0.652,0.0976,2,6lq7ctWCEzam1XLorZ4mT0
0.66,0.406,0.197,-13.341,137.635,0.0435,0.447,0.436,1,4Kh2MJAy65AfHFdGqBg1Jw
0.712,0.911,0.137,-8.235,143.348,0.0493,0.904,0.031,2,2yrS1xBHwuE2PLHtgk72X8
0.313,0.236,0.0942,-16.547,174.357,0.0391,0.342,0.809,16,4mvTcdOP0nx50zpnnhfPdD
