,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.257,0.0906,8,-25.381,1,0.07,0.932,0.985,0.0786,0.0451,67.46,audio_features,1vgSaC0BPlL6LEm4Xsx59J,spotify:track:1vgSaC0BPlL6LEm4Xsx59J,https://api.spotify.com/v1/tracks/1vgSaC0BPlL6LEm4Xsx59J,https://api.spotify.com/v1/audio-analysis/1vgSaC0BPlL6LEm4Xsx59J,266200,3
1,0.159,0.071,6,-27.109,0,0.0409,0.911,0.856,0.107,0.0602,146.977,audio_features,7glKwbR1DyuIuE6XvZvJbQ,spotify:track:7glKwbR1DyuIuE6XvZvJbQ,https://api.spotify.com/v1/tracks/7glKwbR1DyuIuE6XvZvJbQ,https://api.spotify.com/v1/audio-analysis/7glKwbR1DyuIuE6XvZvJbQ,464293,5
2,0.0814,0.0293,0,-25.421,1,0.0408,0.982,0.901,0.206,0.0312,170.923,audio_features,0QWg9GVhRxE2r72Tw7PIzF,spotify:track:0QWg9GVhRxE2r72Tw7PIzF,https://api.spotify.com/v1/tracks/0QWg9GVhRxE2r72Tw7PIzF,https://api.spotify.com/v1/audio-analysis/0QWg9GVhRxE2r72Tw7PIzF,225587,5
3,0.196,0.0236,5,-25.493,0,0.0429,0.528,0.0845,0.289,0.0894,134.596,audio_features,1i8MaQec4fQXj1enX8ZWF4,spotify:track:1i8MaQec4fQXj1enX8ZWF4,https://api.spotify.com/v1/tracks/1i8MaQec4fQXj1enX8ZWF4,https://api.spotify.com/v1/audio-analysis/1i8MaQec4fQXj1enX8ZWF4,208040,4
4,0.179,0.249,0,-19.918,1,0.0405,0.82,0.929,0.0803,0.0367,84.444,audio_features,3pcrD4NBBBQGMJATRhk25C,spotify:track:3pcrD4NBBBQGMJATRhk25C,https://api.spotify.com/v1/tracks/3pcrD4NBBBQGMJATRhk25C,https://api.spotify.com/v1/audio-analysis/3pcrD4NBBBQGMJATRhk25C,151876,4
5,0.0659,0.013,4,-38.437,1,0.0436,0.979,0.847,0.0704,0.0343,71.635,audio_features,3g1hBwztBeoT9dK9w16ENA,spotify:track:3g1hBwztBeoT9dK9w16ENA,https://api.spotify.com/v1/tracks/3g1hBwztBeoT9dK9w16ENA,https://api.spotify.com/v1/audio-analysis/3g1hBwztBeoT9dK9w16ENA,1001200,1
6,0.177,0.1,5,-27.008,1,0.0466,0.953,0.967,0.0651,0.0394,71.297,audio_features,07xAmnJmWBdg1vfbZruWPN,spotify:track:07xAmnJmWBdg1vfbZruWPN,https://api.spotify.com/v1/tracks/07xAmnJmWBdg1vfbZruWPN,https://api.spotify.com/v1/audio-analysis/07xAmnJmWBdg1vfbZruWPN,717720,1
7,0.147,0.121,11,-31.783,1,0.0393,0.973,0.968,0.0882,0.128,88.813,audio_features,0efbgQ82IjFjgDsr5vBckW,spotify:track:0efbgQ82IjFjgDsr5vBckW,https://api.spotify.com/v1/tracks/0efbgQ82IjFjgDsr5vBckW,https://api.spotify.com/v1/audio-analysis/0efbgQ82IjFjgDsr5vBckW,220000,3
8,0.25,0.0911,1,-28.21,1,0.0524,0.866,0.943,0.107,0.0323,118.165,audio_features,4GGdwZABjIFSnFGavhd7Ge,spotify:track:4GGdwZABjIFSnFGavhd7Ge,https://api.spotify.com/v1/tracks/4GGdwZABjIFSnFGavhd7Ge,https://api.spotify.com/v1/audio-analysis/4GGdwZABjIFSnFGavhd7Ge,192283,4
9,0.413,0.0499,4,-27.59,0,0.031,0.0662,0.858,0.0775,0.0301,139.976,audio_features,1mGrXg7R32ONwODtN56Ou7,spotify:track:1mGrXg7R32ONwODtN56Ou7,https://api.spotify.com/v1/tracks/1mGrXg7R32ONwODtN56Ou7,https://api.spotify.com/v1/audio-analysis/1mGrXg7R32ONwODtN56Ou7,403750,4
