,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.624,0.42,9,-7.471,1,0.0373,0.64,0.0023,0.131,0.347,86.035,audio_features,1WJtHOJaSUHjGcei6t22TM,spotify:track:1WJtHOJaSUHjGcei6t22TM,https://api.spotify.com/v1/tracks/1WJtHOJaSUHjGcei6t22TM,https://api.spotify.com/v1/audio-analysis/1WJtHOJaSUHjGcei6t22TM,261773,4
1,0.64,0.7,0,-6.129,1,0.0308,0.0397,0.0134,0.316,0.55,108.123,audio_features,3o34F9z7g0SDeIAKWir4PR,spotify:track:3o34F9z7g0SDeIAKWir4PR,https://api.spotify.com/v1/tracks/3o34F9z7g0SDeIAKWir4PR,https://api.spotify.com/v1/audio-analysis/3o34F9z7g0SDeIAKWir4PR,265500,4
2,0.463,0.7,9,-6.313,1,0.0414,0.194,3.08e-06,0.255,0.716,175.191,audio_features,5shjJt6uBUryQUPLoZmXoF,spotify:track:5shjJt6uBUryQUPLoZmXoF,https://api.spotify.com/v1/tracks/5shjJt6uBUryQUPLoZmXoF,https://api.spotify.com/v1/audio-analysis/5shjJt6uBUryQUPLoZmXoF,205199,4
3,0.753,0.577,2,-7.42,1,0.139,0.181,0.000964,0.108,0.435,84.997,audio_features,1SWk8chKisB7HJvKizuf36,spotify:track:1SWk8chKisB7HJvKizuf36,https://api.spotify.com/v1/tracks/1SWk8chKisB7HJvKizuf36,https://api.spotify.com/v1/audio-analysis/1SWk8chKisB7HJvKizuf36,173678,4
4,0.754,0.52,7,-7.488,1,0.0682,0.613,0.000522,0.126,0.471,145.851,audio_features,2IbB995oiJcMJXTfkMHioG,spotify:track:2IbB995oiJcMJXTfkMHioG,https://api.spotify.com/v1/tracks/2IbB995oiJcMJXTfkMHioG,https://api.spotify.com/v1/audio-analysis/2IbB995oiJcMJXTfkMHioG,199875,4
5,0.612,0.732,5,-5.265,0,0.0604,0.141,0.0,0.0488,0.749,97.925,audio_features,6py94KJo9s8JN9aj4cbkMu,spotify:track:6py94KJo9s8JN9aj4cbkMu,https://api.spotify.com/v1/tracks/6py94KJo9s8JN9aj4cbkMu,https://api.spotify.com/v1/audio-analysis/6py94KJo9s8JN9aj4cbkMu,237333,4
6,0.62,0.805,2,-6.038,1,0.0389,0.0446,1.25e-06,0.468,0.851,121.28,audio_features,001c1daR1pFdqfpe1vAWzh,spotify:track:001c1daR1pFdqfpe1vAWzh,https://api.spotify.com/v1/tracks/001c1daR1pFdqfpe1vAWzh,https://api.spotify.com/v1/audio-analysis/001c1daR1pFdqfpe1vAWzh,322347,4
7,0.524,0.209,4,-12.437,1,0.0405,0.85,0.0,0.173,0.347,148.59,audio_features,158mZIMC4X58ZJK4fJfH1b,spotify:track:158mZIMC4X58ZJK4fJfH1b,https://api.spotify.com/v1/tracks/158mZIMC4X58ZJK4fJfH1b,https://api.spotify.com/v1/audio-analysis/158mZIMC4X58ZJK4fJfH1b,232918,3
8,0.635,0.846,2,-7.226,0,0.0524,0.259,0.0145,0.0786,0.644,92.46,audio_features,36XYWC37Rai5NjYNP8OHfD,spotify:track:36XYWC37Rai5NjYNP8OHfD,https://api.spotify.com/v1/tracks/36XYWC37Rai5NjYNP8OHfD,https://api.spotify.com/v1/audio-analysis/36XYWC37Rai5NjYNP8OHfD,213973,4
9,0.56,0.843,9,-4.188,1,0.0641,0.112,0.0,0.197,0.892,152.598,audio_features,2BbFd78ykW1pnR5vZreQkr,spotify:track:2BbFd78ykW1pnR5vZreQkr,https://api.spotify.com/v1/tracks/2BbFd78ykW1pnR5vZreQkr,https://api.spotify.com/v1/audio-analysis/2BbFd78ykW1pnR5vZreQkr,201240,4
10,0.718,0.691,0,-5.112,1,0.0405,0.234,2.97e-05,0.232,0.851,119.674,audio_features,77mszRgKKwWtTj5DvJrt85,spotify:track:77mszRgKKwWtTj5DvJrt85,https://api.spotify.com/v1/tracks/77mszRgKKwWtTj5DvJrt85,https://api.spotify.com/v1/audio-analysis/77mszRgKKwWtTj5DvJrt85,177883,4
11,0.55,0.55,9,-8.496,1,0.0384,0.0402,0.00179,0.124,0.547,104.545,audio_features,5RXTvloOBm9W714kbJU0gQ,spotify:track:5RXTvloOBm9W714kbJU0gQ,https://api.spotify.com/v1/tracks/5RXTvloOBm9W714kbJU0gQ,https://api.spotify.com/v1/audio-analysis/5RXTvloOBm9W714kbJU0gQ,211667,4
12,0.597,0.642,1,-6.458,0,0.0271,0.00868,0.00147,0.0437,0.741,95.589,audio_features,5cN99kZ1ybpn5DIZvksWWG,spotify:track:5cN99kZ1ybpn5DIZvksWWG,https://api.spotify.com/v1/tracks/5cN99kZ1ybpn5DIZvksWWG,https://api.spotify.com/v1/audio-analysis/5cN99kZ1ybpn5DIZvksWWG,159007,4
13,0.435,0.86,1,-5.708,1,0.0739,0.00591,0.0,0.142,0.612,203.027,audio_features,2Qg9TUOmezQXfKV1NrT8bx,spotify:track:2Qg9TUOmezQXfKV1NrT8bx,https://api.spotify.com/v1/tracks/2Qg9TUOmezQXfKV1NrT8bx,https://api.spotify.com/v1/audio-analysis/2Qg9TUOmezQXfKV1NrT8bx,174125,4
14,0.713,0.558,7,-9.538,1,0.106,0.0137,0.00011,0.0735,0.807,183.908,audio_features,3sAWm1el3CiGuUux8oZ4aI,spotify:track:3sAWm1el3CiGuUux8oZ4aI,https://api.spotify.com/v1/tracks/3sAWm1el3CiGuUux8oZ4aI,https://api.spotify.com/v1/audio-analysis/3sAWm1el3CiGuUux8oZ4aI,286360,4
15,0.679,0.918,0,-4.468,1,0.0913,0.0723,0.0957,0.0812,0.605,115.016,audio_features,02OxBW5LOc4PAjf0dj1buK,spotify:track:02OxBW5LOc4PAjf0dj1buK,https://api.spotify.com/v1/tracks/02OxBW5LOc4PAjf0dj1buK,https://api.spotify.com/v1/audio-analysis/02OxBW5LOc4PAjf0dj1buK,243219,4
16,0.609,0.782,5,-3.633,0,0.0463,0.19,5.49e-06,0.102,0.629,122.543,audio_features,3Y01uxGrWEnR9U78AUSwr5,spotify:track:3Y01uxGrWEnR9U78AUSwr5,https://api.spotify.com/v1/tracks/3Y01uxGrWEnR9U78AUSwr5,https://api.spotify.com/v1/audio-analysis/3Y01uxGrWEnR9U78AUSwr5,239247,4
17,0.544,0.561,7,-5.64,1,0.025,0.296,1.12e-05,0.172,0.278,93.124,audio_features,5dRy520QssuzpqsPOVrgJF,spotify:track:5dRy520QssuzpqsPOVrgJF,https://api.spotify.com/v1/tracks/5dRy520QssuzpqsPOVrgJF,https://api.spotify.com/v1/audio-analysis/5dRy520QssuzpqsPOVrgJF,327469,4
