,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.229,0.704,9,-4.692,1,0.0342,0.000135,0.000384,0.15,0.179,74.6,audio_features,0v3WyEt2g04WFpfVwcnfXm,spotify:track:0v3WyEt2g04WFpfVwcnfXm,https://api.spotify.com/v1/tracks/0v3WyEt2g04WFpfVwcnfXm,https://api.spotify.com/v1/audio-analysis/0v3WyEt2g04WFpfVwcnfXm,338440,4
1,0.256,0.831,1,-10.269,0,0.0964,0.00109,0.0354,0.1,0.161,152.127,audio_features,11Q5n9PmpRQbbblwHygugt,spotify:track:11Q5n9PmpRQbbblwHygugt,https://api.spotify.com/v1/tracks/11Q5n9PmpRQbbblwHygugt,https://api.spotify.com/v1/audio-analysis/11Q5n9PmpRQbbblwHygugt,733333,4
2,0.261,0.877,9,-8.055,0,0.077,0.000512,0.008,0.199,0.32,113.97,audio_features,33hC5Mtvc56c6g7k9qoL9L,spotify:track:33hC5Mtvc56c6g7k9qoL9L,https://api.spotify.com/v1/tracks/33hC5Mtvc56c6g7k9qoL9L,https://api.spotify.com/v1/audio-analysis/33hC5Mtvc56c6g7k9qoL9L,381743,3
3,0.367,0.614,6,-11.96,1,0.0386,0.0197,0.0519,0.178,0.508,77.072,audio_features,09EQqFGUTJW6X4NksMPM0O,spotify:track:09EQqFGUTJW6X4NksMPM0O,https://api.spotify.com/v1/tracks/09EQqFGUTJW6X4NksMPM0O,https://api.spotify.com/v1/audio-analysis/09EQqFGUTJW6X4NksMPM0O,371120,4
4,0.272,0.775,0,-9.766,0,0.0444,0.00856,0.0158,0.0683,0.097,93.667,audio_features,7emF3lKU8NmkrlmDXUTYER,spotify:track:7emF3lKU8NmkrlmDXUTYER,https://api.spotify.com/v1/tracks/7emF3lKU8NmkrlmDXUTYER,https://api.spotify.com/v1/audio-analysis/7emF3lKU8NmkrlmDXUTYER,390333,4
5,0.2,0.547,8,-5.779,1,0.0404,0.076,1.58e-05,0.122,0.276,125.03,audio_features,3wxS2bVpxqDZl5V7uFwH3e,spotify:track:3wxS2bVpxqDZl5V7uFwH3e,https://api.spotify.com/v1/tracks/3wxS2bVpxqDZl5V7uFwH3e,https://api.spotify.com/v1/audio-analysis/3wxS2bVpxqDZl5V7uFwH3e,451387,4
6,0.188,0.674,11,-6.82,1,0.0493,1.37e-05,0.89,0.113,0.297,125.152,audio_features,6rQG8QH1rGoCOeGHdrnYhb,spotify:track:6rQG8QH1rGoCOeGHdrnYhb,https://api.spotify.com/v1/tracks/6rQG8QH1rGoCOeGHdrnYhb,https://api.spotify.com/v1/audio-analysis/6rQG8QH1rGoCOeGHdrnYhb,523333,4
7,0.432,0.665,11,-9.069,1,0.0324,0.452,0.857,0.0912,0.219,83.619,audio_features,1Yb9Nq9PTEegiOUGwyGHuP,spotify:track:1Yb9Nq9PTEegiOUGwyGHuP,https://api.spotify.com/v1/tracks/1Yb9Nq9PTEegiOUGwyGHuP,https://api.spotify.com/v1/audio-analysis/1Yb9Nq9PTEegiOUGwyGHuP,397840,4
8,0.171,0.918,10,-6.177,1,0.0601,0.116,0.0531,0.312,0.12,88.787,audio_features,1syfyKVZaBtEyKXIBaZYcp,spotify:track:1syfyKVZaBtEyKXIBaZYcp,https://api.spotify.com/v1/tracks/1syfyKVZaBtEyKXIBaZYcp,https://api.spotify.com/v1/audio-analysis/1syfyKVZaBtEyKXIBaZYcp,397040,4
9,0.304,0.944,1,-6.516,0,0.123,1.09e-05,0.0233,0.512,0.238,119.33,audio_features,7vt75VJ7bZ6j2K1OYNcLRI,spotify:track:7vt75VJ7bZ6j2K1OYNcLRI,https://api.spotify.com/v1/tracks/7vt75VJ7bZ6j2K1OYNcLRI,https://api.spotify.com/v1/audio-analysis/7vt75VJ7bZ6j2K1OYNcLRI,457533,4
10,0.31,0.957,0,-6.311,1,0.0968,9.9e-05,0.0126,0.0924,0.229,137.113,audio_features,2BiEmhDluMGJyfG0Dd061S,spotify:track:2BiEmhDluMGJyfG0Dd061S,https://api.spotify.com/v1/tracks/2BiEmhDluMGJyfG0Dd061S,https://api.spotify.com/v1/audio-analysis/2BiEmhDluMGJyfG0Dd061S,318973,4
11,0.42,0.85,2,-5.859,0,0.0509,1.76e-05,0.00229,0.0852,0.473,120.006,audio_features,79UmAmAsebSrMePH3VEvpt,spotify:track:79UmAmAsebSrMePH3VEvpt,https://api.spotify.com/v1/tracks/79UmAmAsebSrMePH3VEvpt,https://api.spotify.com/v1/audio-analysis/79UmAmAsebSrMePH3VEvpt,354603,3
12,0.222,0.341,8,-15.308,1,0.0287,0.506,0.00026,0.116,0.125,74.012,audio_features,7rmLLDnpptvTIU1Dt3Wfh8,spotify:track:7rmLLDnpptvTIU1Dt3Wfh8,https://api.spotify.com/v1/tracks/7rmLLDnpptvTIU1Dt3Wfh8,https://api.spotify.com/v1/audio-analysis/7rmLLDnpptvTIU1Dt3Wfh8,413478,4
13,0.412,0.743,2,-7.15,1,0.0633,9.21e-05,0.197,0.0659,0.264,124.943,audio_features,6FxXgRvIY51rPqolR0tSDS,spotify:track:6FxXgRvIY51rPqolR0tSDS,https://api.spotify.com/v1/tracks/6FxXgRvIY51rPqolR0tSDS,https://api.spotify.com/v1/audio-analysis/6FxXgRvIY51rPqolR0tSDS,470200,4
14,0.272,0.71,2,-10.666,0,0.0419,0.0616,0.297,0.202,0.294,90.058,audio_features,7JFzrINkkKDbYMW0w66Es5,spotify:track:7JFzrINkkKDbYMW0w66Es5,https://api.spotify.com/v1/tracks/7JFzrINkkKDbYMW0w66Es5,https://api.spotify.com/v1/audio-analysis/7JFzrINkkKDbYMW0w66Es5,374182,4
