,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.109,0.00822,1,-28.425,1,0.0529,0.942,0.885,0.129,0.0321,75.629,audio_features,477naywDON3t1iAF4COlOV,spotify:track:477naywDON3t1iAF4COlOV,https://api.spotify.com/v1/tracks/477naywDON3t1iAF4COlOV,https://api.spotify.com/v1/audio-analysis/477naywDON3t1iAF4COlOV,610213,3
1,0.0878,0.33,11,-15.884,1,0.0467,0.845,0.955,0.295,0.0278,48.876,audio_features,7pQJxonz8mHLBYptY46dQ1,spotify:track:7pQJxonz8mHLBYptY46dQ1,https://api.spotify.com/v1/tracks/7pQJxonz8mHLBYptY46dQ1,https://api.spotify.com/v1/audio-analysis/7pQJxonz8mHLBYptY46dQ1,504916,4
2,0.244,0.224,4,-20.608,0,0.0371,0.778,0.872,0.0764,0.0285,122.009,audio_features,66Im0BRpWTcpynKUhiaQn6,spotify:track:66Im0BRpWTcpynKUhiaQn6,https://api.spotify.com/v1/tracks/66Im0BRpWTcpynKUhiaQn6,https://api.spotify.com/v1/audio-analysis/66Im0BRpWTcpynKUhiaQn6,319133,4
3,0.0689,0.371,1,-15.942,0,0.0537,0.823,0.838,0.118,0.0278,76.721,audio_features,0w1KW0fortJV5rTxDhLuvd,spotify:track:0w1KW0fortJV5rTxDhLuvd,https://api.spotify.com/v1/tracks/0w1KW0fortJV5rTxDhLuvd,https://api.spotify.com/v1/audio-analysis/0w1KW0fortJV5rTxDhLuvd,432920,4
4,0.123,0.187,11,-19.279,1,0.0438,0.988,0.86,0.103,0.0349,81.923,audio_features,64hfC6o8lqhcWdXU1pEjXo,spotify:track:64hfC6o8lqhcWdXU1pEjXo,https://api.spotify.com/v1/tracks/64hfC6o8lqhcWdXU1pEjXo,https://api.spotify.com/v1/audio-analysis/64hfC6o8lqhcWdXU1pEjXo,490825,4
5,0.224,0.0628,1,-32.651,0,0.0452,0.98,0.961,0.105,0.134,112.939,audio_features,7Hb4ZeKCkWLSPtMHXaY432,spotify:track:7Hb4ZeKCkWLSPtMHXaY432,https://api.spotify.com/v1/tracks/7Hb4ZeKCkWLSPtMHXaY432,https://api.spotify.com/v1/audio-analysis/7Hb4ZeKCkWLSPtMHXaY432,550626,4
6,0.273,0.267,3,-20.486,0,0.0489,0.947,0.876,0.125,0.126,115.212,audio_features,6cTAWvoX69GdsMOJUH8ErM,spotify:track:6cTAWvoX69GdsMOJUH8ErM,https://api.spotify.com/v1/tracks/6cTAWvoX69GdsMOJUH8ErM,https://api.spotify.com/v1/audio-analysis/6cTAWvoX69GdsMOJUH8ErM,439000,3
7,0.168,0.169,3,-20.799,0,0.0463,0.928,0.891,0.11,0.0577,74.039,audio_features,14jjKMNUMd8lKIdaqwn4XG,spotify:track:14jjKMNUMd8lKIdaqwn4XG,https://api.spotify.com/v1/tracks/14jjKMNUMd8lKIdaqwn4XG,https://api.spotify.com/v1/audio-analysis/14jjKMNUMd8lKIdaqwn4XG,423440,3
8,0.0,0.198,5,-17.157,0,0.0,0.812,0.924,0.156,0.0,0.0,audio_features,3xjhSs614NqALivarSVYhV,spotify:track:3xjhSs614NqALivarSVYhV,https://api.spotify.com/v1/tracks/3xjhSs614NqALivarSVYhV,https://api.spotify.com/v1/audio-analysis/3xjhSs614NqALivarSVYhV,239800,0
9,0.064,0.509,8,-12.738,1,0.0604,0.000492,0.958,0.183,0.049,74.432,audio_features,1vOKECbjDJzzPi17GWo0DZ,spotify:track:1vOKECbjDJzzPi17GWo0DZ,https://api.spotify.com/v1/tracks/1vOKECbjDJzzPi17GWo0DZ,https://api.spotify.com/v1/audio-analysis/1vOKECbjDJzzPi17GWo0DZ,246453,4
10,0.0689,0.000138,1,-10.832,1,0.0523,0.804,0.957,0.0803,0.485,81.379,audio_features,2hVDLzMlqfNqWfWPGMt8l8,spotify:track:2hVDLzMlqfNqWfWPGMt8l8,https://api.spotify.com/v1/tracks/2hVDLzMlqfNqWfWPGMt8l8,https://api.spotify.com/v1/audio-analysis/2hVDLzMlqfNqWfWPGMt8l8,329733,3
11,0.314,0.918,0,-10.72,0,0.0995,0.821,0.906,0.106,0.0992,127.898,audio_features,1UTm1iOn5dyA1VShiuTONx,spotify:track:1UTm1iOn5dyA1VShiuTONx,https://api.spotify.com/v1/tracks/1UTm1iOn5dyA1VShiuTONx,https://api.spotify.com/v1/audio-analysis/1UTm1iOn5dyA1VShiuTONx,413147,4
12,0.155,0.0908,8,-34.481,1,0.0523,0.404,0.897,0.115,0.0368,136.555,audio_features,0JwWKowr0RcH11RSkhrj1p,spotify:track:0JwWKowr0RcH11RSkhrj1p,https://api.spotify.com/v1/tracks/0JwWKowr0RcH11RSkhrj1p,https://api.spotify.com/v1/audio-analysis/0JwWKowr0RcH11RSkhrj1p,672240,3
13,0.0632,0.0286,1,-39.426,1,0.0581,0.886,0.951,0.11,0.0354,69.04,audio_features,1URjjd7gL36o5W0bY9Vh7a,spotify:track:1URjjd7gL36o5W0bY9Vh7a,https://api.spotify.com/v1/tracks/1URjjd7gL36o5W0bY9Vh7a,https://api.spotify.com/v1/audio-analysis/1URjjd7gL36o5W0bY9Vh7a,844120,5
14,0.23,0.156,8,-18.148,1,0.0424,0.866,0.916,0.103,0.0364,70.006,audio_features,6oQJEepQM9NN6JQ13lxKKg,spotify:track:6oQJEepQM9NN6JQ13lxKKg,https://api.spotify.com/v1/tracks/6oQJEepQM9NN6JQ13lxKKg,https://api.spotify.com/v1/audio-analysis/6oQJEepQM9NN6JQ13lxKKg,308000,4
15,0.0816,0.236,8,-26.966,1,0.0454,0.971,0.936,0.108,0.0517,60.707,audio_features,2Q9HSp7uHZEwVYbcTDmjL9,spotify:track:2Q9HSp7uHZEwVYbcTDmjL9,https://api.spotify.com/v1/tracks/2Q9HSp7uHZEwVYbcTDmjL9,https://api.spotify.com/v1/audio-analysis/2Q9HSp7uHZEwVYbcTDmjL9,334000,4
16,0.184,0.213,1,-24.557,0,0.0397,0.823,0.914,0.111,0.0416,77.715,audio_features,7luTjJbkS1lPni1curSUhr,spotify:track:7luTjJbkS1lPni1curSUhr,https://api.spotify.com/v1/tracks/7luTjJbkS1lPni1curSUhr,https://api.spotify.com/v1/audio-analysis/7luTjJbkS1lPni1curSUhr,290783,1
17,0.0589,0.218,0,-17.663,0,0.0414,0.773,0.94,0.48,0.124,67.033,audio_features,4FUHWVEtXsghAdzaoNPk5m,spotify:track:4FUHWVEtXsghAdzaoNPk5m,https://api.spotify.com/v1/tracks/4FUHWVEtXsghAdzaoNPk5m,https://api.spotify.com/v1/audio-analysis/4FUHWVEtXsghAdzaoNPk5m,418867,4
18,0.0669,0.045,0,-38.444,0,0.0353,0.968,0.917,0.13,0.224,73.924,audio_features,3i1Krv8CpPqG3o4sSzZrTK,spotify:track:3i1Krv8CpPqG3o4sSzZrTK,https://api.spotify.com/v1/tracks/3i1Krv8CpPqG3o4sSzZrTK,https://api.spotify.com/v1/audio-analysis/3i1Krv8CpPqG3o4sSzZrTK,348202,4
19,0.163,0.433,1,-24.221,1,0.0763,0.841,0.912,0.106,0.0655,80.028,audio_features,0cJGmMj7aBqdwGijKyKoC3,spotify:track:0cJGmMj7aBqdwGijKyKoC3,https://api.spotify.com/v1/tracks/0cJGmMj7aBqdwGijKyKoC3,https://api.spotify.com/v1/audio-analysis/0cJGmMj7aBqdwGijKyKoC3,219960,4
20,0.188,0.172,0,-25.724,1,0.0401,0.995,0.649,0.102,0.0399,71.642,audio_features,0Eci42j6D7tsAVhOVlSuk2,spotify:track:0Eci42j6D7tsAVhOVlSuk2,https://api.spotify.com/v1/tracks/0Eci42j6D7tsAVhOVlSuk2,https://api.spotify.com/v1/audio-analysis/0Eci42j6D7tsAVhOVlSuk2,367720,4
21,0.171,0.397,5,-9.483,1,0.0344,0.323,0.927,0.115,0.0682,120.773,audio_features,6Gy70dHgfSmI5ykpqOppAj,spotify:track:6Gy70dHgfSmI5ykpqOppAj,https://api.spotify.com/v1/tracks/6Gy70dHgfSmI5ykpqOppAj,https://api.spotify.com/v1/audio-analysis/6Gy70dHgfSmI5ykpqOppAj,487613,4
22,0.0588,0.0498,0,-19.586,1,0.0461,0.99,0.923,0.111,0.0233,63.495,audio_features,1o3dUfh1miVQGFrWDyZS50,spotify:track:1o3dUfh1miVQGFrWDyZS50,https://api.spotify.com/v1/tracks/1o3dUfh1miVQGFrWDyZS50,https://api.spotify.com/v1/audio-analysis/1o3dUfh1miVQGFrWDyZS50,858846,3
23,0.0587,0.103,8,-15.074,0,0.0425,0.965,0.973,0.0918,0.0263,63.118,audio_features,1MR9OTuqgsArQSJY7dIc4h,spotify:track:1MR9OTuqgsArQSJY7dIc4h,https://api.spotify.com/v1/tracks/1MR9OTuqgsArQSJY7dIc4h,https://api.spotify.com/v1/audio-analysis/1MR9OTuqgsArQSJY7dIc4h,445507,3
24,0.0645,0.131,2,-12.351,0,0.0477,0.902,0.902,0.0701,0.0314,75.617,audio_features,0XwDIhgBhaXQKsY0JVbQJV,spotify:track:0XwDIhgBhaXQKsY0JVbQJV,https://api.spotify.com/v1/tracks/0XwDIhgBhaXQKsY0JVbQJV,https://api.spotify.com/v1/audio-analysis/0XwDIhgBhaXQKsY0JVbQJV,600480,3
25,0.151,0.17,5,-14.772,1,0.0495,0.92,0.677,0.106,0.0307,106.685,audio_features,0XFV8vyp1Ptc1du3dsgBv9,spotify:track:0XFV8vyp1Ptc1du3dsgBv9,https://api.spotify.com/v1/tracks/0XFV8vyp1Ptc1du3dsgBv9,https://api.spotify.com/v1/audio-analysis/0XFV8vyp1Ptc1du3dsgBv9,456244,3
26,0.215,0.0283,1,-23.261,0,0.0368,0.622,0.89,0.114,0.0288,78.059,audio_features,50NfO5iYyNCTiRNH8NIBnv,spotify:track:50NfO5iYyNCTiRNH8NIBnv,https://api.spotify.com/v1/tracks/50NfO5iYyNCTiRNH8NIBnv,https://api.spotify.com/v1/audio-analysis/50NfO5iYyNCTiRNH8NIBnv,334707,4
27,0.0702,0.277,8,-15.407,0,0.0404,0.0372,0.442,0.39,0.0539,79.436,audio_features,4qBGR3LXi42XRyNseebVR1,spotify:track:4qBGR3LXi42XRyNseebVR1,https://api.spotify.com/v1/tracks/4qBGR3LXi42XRyNseebVR1,https://api.spotify.com/v1/audio-analysis/4qBGR3LXi42XRyNseebVR1,412307,4
28,0.11,0.242,10,-26.389,0,0.056,0.878,0.942,0.0918,0.0682,92.845,audio_features,4vRBQ1V5S8Z4FeCn9ayete,spotify:track:4vRBQ1V5S8Z4FeCn9ayete,https://api.spotify.com/v1/tracks/4vRBQ1V5S8Z4FeCn9ayete,https://api.spotify.com/v1/audio-analysis/4vRBQ1V5S8Z4FeCn9ayete,462225,4
29,0.0667,0.0664,5,-22.323,1,0.0422,0.875,0.717,0.108,0.03,70.89,audio_features,2W81KEhtM024cJChMVodvE,spotify:track:2W81KEhtM024cJChMVodvE,https://api.spotify.com/v1/tracks/2W81KEhtM024cJChMVodvE,https://api.spotify.com/v1/audio-analysis/2W81KEhtM024cJChMVodvE,690200,3
30,0.144,0.0253,5,-23.72,1,0.0416,0.0581,0.9,0.0901,0.0355,68.242,audio_features,2JXV1Nt1x7IqcKZjOC9nyg,spotify:track:2JXV1Nt1x7IqcKZjOC9nyg,https://api.spotify.com/v1/tracks/2JXV1Nt1x7IqcKZjOC9nyg,https://api.spotify.com/v1/audio-analysis/2JXV1Nt1x7IqcKZjOC9nyg,1076840,4
31,0.267,0.253,5,-18.506,1,0.039,0.4,0.833,0.274,0.0356,60.294,audio_features,3YkpK4pvQizD361Pf69HIB,spotify:track:3YkpK4pvQizD361Pf69HIB,https://api.spotify.com/v1/tracks/3YkpK4pvQizD361Pf69HIB,https://api.spotify.com/v1/audio-analysis/3YkpK4pvQizD361Pf69HIB,351661,4
32,0.152,0.282,11,-11.755,1,0.0421,0.968,0.82,0.294,0.0306,81.883,audio_features,6D9CSzC2Cugod9U1MnTn05,spotify:track:6D9CSzC2Cugod9U1MnTn05,https://api.spotify.com/v1/tracks/6D9CSzC2Cugod9U1MnTn05,https://api.spotify.com/v1/audio-analysis/6D9CSzC2Cugod9U1MnTn05,758773,4
33,0.134,0.000241,4,-25.511,0,0.048,0.817,0.918,0.111,0.149,68.978,audio_features,7lRWJEm8N20d7HPIx9fiyn,spotify:track:7lRWJEm8N20d7HPIx9fiyn,https://api.spotify.com/v1/tracks/7lRWJEm8N20d7HPIx9fiyn,https://api.spotify.com/v1/audio-analysis/7lRWJEm8N20d7HPIx9fiyn,435276,4
34,0.063,0.0134,7,-17.202,1,0.0542,0.867,0.277,0.0876,0.03,75.466,audio_features,4rmsiid0MVmbWCBCbU55bW,spotify:track:4rmsiid0MVmbWCBCbU55bW,https://api.spotify.com/v1/tracks/4rmsiid0MVmbWCBCbU55bW,https://api.spotify.com/v1/audio-analysis/4rmsiid0MVmbWCBCbU55bW,612923,4
35,0.0971,0.156,10,-27.975,0,0.0467,0.956,0.9,0.12,0.0258,73.561,audio_features,7bG89L429ScKWBkGxMsF0A,spotify:track:7bG89L429ScKWBkGxMsF0A,https://api.spotify.com/v1/tracks/7bG89L429ScKWBkGxMsF0A,https://api.spotify.com/v1/audio-analysis/7bG89L429ScKWBkGxMsF0A,349072,4
36,0.0962,0.19,2,-16.468,0,0.0394,0.961,0.965,0.141,0.0954,88.892,audio_features,4krGCvRL2UbqQ7q7pxl4bI,spotify:track:4krGCvRL2UbqQ7q7pxl4bI,https://api.spotify.com/v1/tracks/4krGCvRL2UbqQ7q7pxl4bI,https://api.spotify.com/v1/audio-analysis/4krGCvRL2UbqQ7q7pxl4bI,355333,4
37,0.0727,0.12,0,-26.449,1,0.041,0.107,0.857,0.152,0.039,77.699,audio_features,238nTz4MTr76fLPzGupRcv,spotify:track:238nTz4MTr76fLPzGupRcv,https://api.spotify.com/v1/tracks/238nTz4MTr76fLPzGupRcv,https://api.spotify.com/v1/audio-analysis/238nTz4MTr76fLPzGupRcv,644048,4
38,0.0872,0.268,2,-13.465,1,0.0476,0.677,0.937,0.0691,0.0352,87.011,audio_features,1qX88QRVrWVgoWqGPgcZwv,spotify:track:1qX88QRVrWVgoWqGPgcZwv,https://api.spotify.com/v1/tracks/1qX88QRVrWVgoWqGPgcZwv,https://api.spotify.com/v1/audio-analysis/1qX88QRVrWVgoWqGPgcZwv,393361,4
39,0.0866,0.0646,11,-25.343,1,0.0452,0.919,0.849,0.101,0.032,77.525,audio_features,4PD7ObetGBb0bOw3c8puBh,spotify:track:4PD7ObetGBb0bOw3c8puBh,https://api.spotify.com/v1/tracks/4PD7ObetGBb0bOw3c8puBh,https://api.spotify.com/v1/audio-analysis/4PD7ObetGBb0bOw3c8puBh,384646,4
40,0.138,0.0294,7,-29.721,1,0.0439,0.602,0.962,0.197,0.0317,141.819,audio_features,1F9y4V76VHBpPR7N6I9Fy2,spotify:track:1F9y4V76VHBpPR7N6I9Fy2,https://api.spotify.com/v1/tracks/1F9y4V76VHBpPR7N6I9Fy2,https://api.spotify.com/v1/audio-analysis/1F9y4V76VHBpPR7N6I9Fy2,336750,4
41,0.0625,0.15,5,-16.868,1,0.0412,0.301,0.831,0.368,0.0337,68.651,audio_features,4pgeEVvB2HclbqedtIP03Y,spotify:track:4pgeEVvB2HclbqedtIP03Y,https://api.spotify.com/v1/tracks/4pgeEVvB2HclbqedtIP03Y,https://api.spotify.com/v1/audio-analysis/4pgeEVvB2HclbqedtIP03Y,410000,4
