,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.403,0.891,1,-8.907,0,0.139,0.00525,0.00379,0.0519,0.427,88.936,audio_features,678Fh7cIfN1sLqxsj5sc2G,spotify:track:678Fh7cIfN1sLqxsj5sc2G,https://api.spotify.com/v1/tracks/678Fh7cIfN1sLqxsj5sc2G,https://api.spotify.com/v1/audio-analysis/678Fh7cIfN1sLqxsj5sc2G,189333,4
1,0.448,0.814,4,-10.641,0,0.0761,0.0209,0.0638,0.548,0.639,151.23,audio_features,3WnBwOHWafZOeA5BtouHo9,spotify:track:3WnBwOHWafZOeA5BtouHo9,https://api.spotify.com/v1/tracks/3WnBwOHWafZOeA5BtouHo9,https://api.spotify.com/v1/audio-analysis/3WnBwOHWafZOeA5BtouHo9,136014,4
2,0.244,0.911,0,-8.142,1,0.0816,0.000197,0.807,0.163,0.257,170.846,audio_features,2waQlcwzfmVvifFxX3O7c6,spotify:track:2waQlcwzfmVvifFxX3O7c6,https://api.spotify.com/v1/tracks/2waQlcwzfmVvifFxX3O7c6,https://api.spotify.com/v1/audio-analysis/2waQlcwzfmVvifFxX3O7c6,195293,4
3,0.556,0.754,8,-3.56,1,0.206,0.00374,0.000267,0.105,0.797,167.849,audio_features,4fvCjV4omnb7JPBGuZkXvS,spotify:track:4fvCjV4omnb7JPBGuZkXvS,https://api.spotify.com/v1/tracks/4fvCjV4omnb7JPBGuZkXvS,https://api.spotify.com/v1/audio-analysis/4fvCjV4omnb7JPBGuZkXvS,167053,4
4,0.437,0.926,11,-7.581,0,0.0797,0.189,0.165,0.246,0.501,123.107,audio_features,0Ny0jG7RiWC2aSlLPs783b,spotify:track:0Ny0jG7RiWC2aSlLPs783b,https://api.spotify.com/v1/tracks/0Ny0jG7RiWC2aSlLPs783b,https://api.spotify.com/v1/audio-analysis/0Ny0jG7RiWC2aSlLPs783b,274333,4
5,0.31,0.595,7,-11.809,1,0.0395,0.000224,0.203,0.26,0.381,163.415,audio_features,35ickeV5eBqwfjvMZoOb3d,spotify:track:35ickeV5eBqwfjvMZoOb3d,https://api.spotify.com/v1/tracks/35ickeV5eBqwfjvMZoOb3d,https://api.spotify.com/v1/audio-analysis/35ickeV5eBqwfjvMZoOb3d,222307,4
6,0.251,0.7,1,-6.924,1,0.118,0.0766,0.764,0.108,0.52,191.466,audio_features,0sTMWWSms4Mt6vy33rdqgv,spotify:track:0sTMWWSms4Mt6vy33rdqgv,https://api.spotify.com/v1/tracks/0sTMWWSms4Mt6vy33rdqgv,https://api.spotify.com/v1/audio-analysis/0sTMWWSms4Mt6vy33rdqgv,153440,4
7,0.462,0.696,9,-9.525,1,0.04,0.0224,0.56,0.122,0.0711,133.027,audio_features,2ZA9Sw1hq8mOaFzOiPyN71,spotify:track:2ZA9Sw1hq8mOaFzOiPyN71,https://api.spotify.com/v1/tracks/2ZA9Sw1hq8mOaFzOiPyN71,https://api.spotify.com/v1/audio-analysis/2ZA9Sw1hq8mOaFzOiPyN71,256760,4
8,0.429,0.914,7,-9.594,1,0.0505,0.0321,9.26e-05,0.436,0.685,155.588,audio_features,4AwKXevZmsTNa3KZVj3rzl,spotify:track:4AwKXevZmsTNa3KZVj3rzl,https://api.spotify.com/v1/tracks/4AwKXevZmsTNa3KZVj3rzl,https://api.spotify.com/v1/audio-analysis/4AwKXevZmsTNa3KZVj3rzl,221507,4
9,0.47,0.701,9,-12.691,1,0.0346,0.0017,0.0,0.324,0.818,140.968,audio_features,1z9Vxm6Gij3AkTjVUlcnLT,spotify:track:1z9Vxm6Gij3AkTjVUlcnLT,https://api.spotify.com/v1/tracks/1z9Vxm6Gij3AkTjVUlcnLT,https://api.spotify.com/v1/audio-analysis/1z9Vxm6Gij3AkTjVUlcnLT,198400,4
10,0.345,0.811,1,-11.948,0,0.0654,0.0606,0.0466,0.357,0.625,142.834,audio_features,5mSZLysuAtdNA21mbOm0sx,spotify:track:5mSZLysuAtdNA21mbOm0sx,https://api.spotify.com/v1/tracks/5mSZLysuAtdNA21mbOm0sx,https://api.spotify.com/v1/audio-analysis/5mSZLysuAtdNA21mbOm0sx,183824,4
11,0.307,0.405,0,-12.874,1,0.0294,8.59e-06,0.00497,0.108,0.126,103.069,audio_features,1B8ORiV6dLs3eEDSIj6bG6,spotify:track:1B8ORiV6dLs3eEDSIj6bG6,https://api.spotify.com/v1/tracks/1B8ORiV6dLs3eEDSIj6bG6,https://api.spotify.com/v1/audio-analysis/1B8ORiV6dLs3eEDSIj6bG6,382480,4
12,0.315,0.467,11,-11.164,0,0.0353,0.000482,0.845,0.0824,0.565,153.219,audio_features,3ddtDE9U6eY3UtAe7yng5n,spotify:track:3ddtDE9U6eY3UtAe7yng5n,https://api.spotify.com/v1/tracks/3ddtDE9U6eY3UtAe7yng5n,https://api.spotify.com/v1/audio-analysis/3ddtDE9U6eY3UtAe7yng5n,150733,4
13,0.322,0.874,2,-4.412,1,0.334,0.000323,0.904,0.0598,0.16,165.013,audio_features,0XsIPXAIZzR40ztwbkOOfm,spotify:track:0XsIPXAIZzR40ztwbkOOfm,https://api.spotify.com/v1/tracks/0XsIPXAIZzR40ztwbkOOfm,https://api.spotify.com/v1/audio-analysis/0XsIPXAIZzR40ztwbkOOfm,40813,4
14,0.35,0.37,6,-7.509,0,0.0607,0.000621,0.448,0.232,0.201,181.429,audio_features,5o3TEVzg9rSgkcUzWRysAU,spotify:track:5o3TEVzg9rSgkcUzWRysAU,https://api.spotify.com/v1/tracks/5o3TEVzg9rSgkcUzWRysAU,https://api.spotify.com/v1/audio-analysis/5o3TEVzg9rSgkcUzWRysAU,111213,4
15,0.605,0.746,10,-10.582,0,0.0656,0.045,0.0368,0.143,0.675,162.558,audio_features,1aylC3Q7hFChQY2ndh6Noj,spotify:track:1aylC3Q7hFChQY2ndh6Noj,https://api.spotify.com/v1/tracks/1aylC3Q7hFChQY2ndh6Noj,https://api.spotify.com/v1/audio-analysis/1aylC3Q7hFChQY2ndh6Noj,189427,4
16,0.58,0.9,11,-11.525,0,0.0877,0.0235,0.171,0.101,0.627,152.356,audio_features,61dlLymwnAMwEH291wrxv2,spotify:track:61dlLymwnAMwEH291wrxv2,https://api.spotify.com/v1/tracks/61dlLymwnAMwEH291wrxv2,https://api.spotify.com/v1/audio-analysis/61dlLymwnAMwEH291wrxv2,201133,3
17,0.724,0.729,9,-12.921,0,0.128,0.664,0.246,0.777,0.689,130.158,audio_features,41sdE2ECDWNTGnry77CeYf,spotify:track:41sdE2ECDWNTGnry77CeYf,https://api.spotify.com/v1/tracks/41sdE2ECDWNTGnry77CeYf,https://api.spotify.com/v1/audio-analysis/41sdE2ECDWNTGnry77CeYf,295667,4
18,0.471,0.984,0,-2.127,1,0.177,0.00764,0.751,0.208,0.569,82.871,audio_features,1wFQBVOhFTOlNd5NDFyyZ7,spotify:track:1wFQBVOhFTOlNd5NDFyyZ7,https://api.spotify.com/v1/tracks/1wFQBVOhFTOlNd5NDFyyZ7,https://api.spotify.com/v1/audio-analysis/1wFQBVOhFTOlNd5NDFyyZ7,286173,4
19,0.259,0.408,2,-8.194,1,0.0354,0.31,0.0803,0.184,0.0377,118.473,audio_features,00DVtdi8lE9em4GdOADTvH,spotify:track:00DVtdi8lE9em4GdOADTvH,https://api.spotify.com/v1/tracks/00DVtdi8lE9em4GdOADTvH,https://api.spotify.com/v1/audio-analysis/00DVtdi8lE9em4GdOADTvH,368987,4
20,0.305,0.79,9,-9.633,1,0.0965,0.0323,0.368,0.153,0.383,139.551,audio_features,5zNQPB67iLm11Zyg6hwiQX,spotify:track:5zNQPB67iLm11Zyg6hwiQX,https://api.spotify.com/v1/tracks/5zNQPB67iLm11Zyg6hwiQX,https://api.spotify.com/v1/audio-analysis/5zNQPB67iLm11Zyg6hwiQX,597253,3
21,0.511,0.764,1,-8.729,1,0.0895,0.158,2.16e-05,0.201,0.184,98.643,audio_features,2XQpANwRhSpEh8802CF4Tb,spotify:track:2XQpANwRhSpEh8802CF4Tb,https://api.spotify.com/v1/tracks/2XQpANwRhSpEh8802CF4Tb,https://api.spotify.com/v1/audio-analysis/2XQpANwRhSpEh8802CF4Tb,519853,4
22,0.456,0.862,3,-7.619,0,0.118,6.92e-05,0.466,0.0771,0.112,141.282,audio_features,4jKOT4I90IAAXGryiHYgoy,spotify:track:4jKOT4I90IAAXGryiHYgoy,https://api.spotify.com/v1/tracks/4jKOT4I90IAAXGryiHYgoy,https://api.spotify.com/v1/audio-analysis/4jKOT4I90IAAXGryiHYgoy,251827,4
23,0.467,0.696,2,-8.261,0,0.0386,0.00122,0.5,0.149,0.451,146.011,audio_features,2XhSe48p6D020tt6y9RLTr,spotify:track:2XhSe48p6D020tt6y9RLTr,https://api.spotify.com/v1/tracks/2XhSe48p6D020tt6y9RLTr,https://api.spotify.com/v1/audio-analysis/2XhSe48p6D020tt6y9RLTr,188440,4
24,0.232,0.595,11,-7.433,0,0.0317,0.112,0.0312,0.0767,0.0778,101.038,audio_features,5OZB6CfEUWM0037PHmjagS,spotify:track:5OZB6CfEUWM0037PHmjagS,https://api.spotify.com/v1/tracks/5OZB6CfEUWM0037PHmjagS,https://api.spotify.com/v1/audio-analysis/5OZB6CfEUWM0037PHmjagS,411333,3
25,0.283,0.976,2,-3.734,0,0.0703,0.29,0.378,0.148,0.601,165.551,audio_features,37hRxyEpopJfkEsJxNUOHQ,spotify:track:37hRxyEpopJfkEsJxNUOHQ,https://api.spotify.com/v1/tracks/37hRxyEpopJfkEsJxNUOHQ,https://api.spotify.com/v1/audio-analysis/37hRxyEpopJfkEsJxNUOHQ,187947,4
26,0.39,0.941,9,-8.574,0,0.0802,0.0668,0.000435,0.432,0.0901,86.377,audio_features,1chSboCo1Il4TNEGvgJddN,spotify:track:1chSboCo1Il4TNEGvgJddN,https://api.spotify.com/v1/tracks/1chSboCo1Il4TNEGvgJddN,https://api.spotify.com/v1/audio-analysis/1chSboCo1Il4TNEGvgJddN,292400,4
27,0.502,0.772,2,-8.114,1,0.19,0.324,4.54e-06,0.477,0.681,177.581,audio_features,0M8LFMtZSSutgquh3P4rYm,spotify:track:0M8LFMtZSSutgquh3P4rYm,https://api.spotify.com/v1/tracks/0M8LFMtZSSutgquh3P4rYm,https://api.spotify.com/v1/audio-analysis/0M8LFMtZSSutgquh3P4rYm,240547,4
28,0.694,0.918,8,-4.593,1,0.118,0.0592,0.452,0.0986,0.813,103.84,audio_features,58iS1umtslWXFwpI94UShc,spotify:track:58iS1umtslWXFwpI94UShc,https://api.spotify.com/v1/tracks/58iS1umtslWXFwpI94UShc,https://api.spotify.com/v1/audio-analysis/58iS1umtslWXFwpI94UShc,190907,4
29,0.423,0.97,2,-6.977,1,0.0946,0.0535,3.54e-05,0.863,0.638,180.269,audio_features,6vm2vQjHt5aSO8abLd1GAA,spotify:track:6vm2vQjHt5aSO8abLd1GAA,https://api.spotify.com/v1/tracks/6vm2vQjHt5aSO8abLd1GAA,https://api.spotify.com/v1/audio-analysis/6vm2vQjHt5aSO8abLd1GAA,256827,4
30,0.45,0.993,8,-7.627,1,0.0603,0.000568,0.0442,0.288,0.167,138.038,audio_features,48mRDxreIh69fgXycSnC3w,spotify:track:48mRDxreIh69fgXycSnC3w,https://api.spotify.com/v1/tracks/48mRDxreIh69fgXycSnC3w,https://api.spotify.com/v1/audio-analysis/48mRDxreIh69fgXycSnC3w,322933,4
31,0.0801,0.785,7,-11.337,0,0.0674,0.0237,0.798,0.248,0.121,170.891,audio_features,1m4ZiZAcsdjcsvajvuzt3b,spotify:track:1m4ZiZAcsdjcsvajvuzt3b,https://api.spotify.com/v1/tracks/1m4ZiZAcsdjcsvajvuzt3b,https://api.spotify.com/v1/audio-analysis/1m4ZiZAcsdjcsvajvuzt3b,292400,4
32,0.324,0.925,9,-10.644,0,0.0612,3.85e-05,0.652,0.695,0.502,159.519,audio_features,7yHKJKvbi5xfHj0QTWUdDT,spotify:track:7yHKJKvbi5xfHj0QTWUdDT,https://api.spotify.com/v1/tracks/7yHKJKvbi5xfHj0QTWUdDT,https://api.spotify.com/v1/audio-analysis/7yHKJKvbi5xfHj0QTWUdDT,132440,4
33,0.263,0.967,7,-5.556,1,0.0476,0.00504,0.113,0.0811,0.749,156.702,audio_features,7uilSLwD6eizA1Hp9SLRgO,spotify:track:7uilSLwD6eizA1Hp9SLRgO,https://api.spotify.com/v1/tracks/7uilSLwD6eizA1Hp9SLRgO,https://api.spotify.com/v1/audio-analysis/7uilSLwD6eizA1Hp9SLRgO,418947,4
34,0.811,0.92,4,-4.642,1,0.113,0.0174,0.00332,0.0923,0.802,137.969,audio_features,17yxzUcZSu3S9KyoGF0ckI,spotify:track:17yxzUcZSu3S9KyoGF0ckI,https://api.spotify.com/v1/tracks/17yxzUcZSu3S9KyoGF0ckI,https://api.spotify.com/v1/audio-analysis/17yxzUcZSu3S9KyoGF0ckI,243187,3
35,0.723,0.836,0,-5.249,1,0.154,0.0353,6.87e-06,0.0709,0.881,127.95,audio_features,43v9KODObXQjxm0ADkEuU6,spotify:track:43v9KODObXQjxm0ADkEuU6,https://api.spotify.com/v1/tracks/43v9KODObXQjxm0ADkEuU6,https://api.spotify.com/v1/audio-analysis/43v9KODObXQjxm0ADkEuU6,165253,4
36,0.646,0.335,6,-16.622,0,0.0557,0.836,0.775,0.0942,0.362,117.688,audio_features,7c4RADJcpx7pqnuuCOVEHb,spotify:track:7c4RADJcpx7pqnuuCOVEHb,https://api.spotify.com/v1/tracks/7c4RADJcpx7pqnuuCOVEHb,https://api.spotify.com/v1/audio-analysis/7c4RADJcpx7pqnuuCOVEHb,218436,4
37,0.567,0.726,9,-9.362,1,0.0828,0.00253,0.00379,0.0579,0.298,195.508,audio_features,6WxkY3VMWE20Hj0be9bNvI,spotify:track:6WxkY3VMWE20Hj0be9bNvI,https://api.spotify.com/v1/tracks/6WxkY3VMWE20Hj0be9bNvI,https://api.spotify.com/v1/audio-analysis/6WxkY3VMWE20Hj0be9bNvI,285534,4
38,0.572,0.666,6,-9.44,1,0.103,0.0405,1.28e-06,0.0975,0.509,135.109,audio_features,7CgGoFIdn7miCa0yJ0Kx8P,spotify:track:7CgGoFIdn7miCa0yJ0Kx8P,https://api.spotify.com/v1/tracks/7CgGoFIdn7miCa0yJ0Kx8P,https://api.spotify.com/v1/audio-analysis/7CgGoFIdn7miCa0yJ0Kx8P,194707,3
39,0.594,0.808,11,-8.572,1,0.0331,0.00192,0.18,0.0573,0.563,104.68,audio_features,32MZ4t3jmaMtCXlnr5Wjim,spotify:track:32MZ4t3jmaMtCXlnr5Wjim,https://api.spotify.com/v1/tracks/32MZ4t3jmaMtCXlnr5Wjim,https://api.spotify.com/v1/audio-analysis/32MZ4t3jmaMtCXlnr5Wjim,313053,4
40,0.401,0.541,4,-3.219,1,0.0322,0.0131,0.368,0.143,0.418,99.578,audio_features,5aYHJc2gaz89o9ch23e1vg,spotify:track:5aYHJc2gaz89o9ch23e1vg,https://api.spotify.com/v1/tracks/5aYHJc2gaz89o9ch23e1vg,https://api.spotify.com/v1/audio-analysis/5aYHJc2gaz89o9ch23e1vg,174600,4
41,0.357,0.677,7,-11.743,1,0.0593,0.852,0.389,0.322,0.421,97.222,audio_features,79UsyHXumEMouxczxGFXQh,spotify:track:79UsyHXumEMouxczxGFXQh,https://api.spotify.com/v1/tracks/79UsyHXumEMouxczxGFXQh,https://api.spotify.com/v1/audio-analysis/79UsyHXumEMouxczxGFXQh,104667,1
42,0.823,0.491,0,-13.037,1,0.26,0.0236,0.0,0.0411,0.77,103.181,audio_features,7uaBDuAejdmNPdEI5X6jql,spotify:track:7uaBDuAejdmNPdEI5X6jql,https://api.spotify.com/v1/tracks/7uaBDuAejdmNPdEI5X6jql,https://api.spotify.com/v1/audio-analysis/7uaBDuAejdmNPdEI5X6jql,148000,3
43,0.867,0.567,2,-12.156,1,0.0339,0.0289,0.716,0.418,0.529,113.772,audio_features,6GkHGeYHHA5u5j1X3kTx3h,spotify:track:6GkHGeYHHA5u5j1X3kTx3h,https://api.spotify.com/v1/tracks/6GkHGeYHHA5u5j1X3kTx3h,https://api.spotify.com/v1/audio-analysis/6GkHGeYHHA5u5j1X3kTx3h,103720,4
44,0.568,0.945,6,-2.88,1,0.131,0.0216,0.054,0.0569,0.678,135.211,audio_features,6kU2iL83JjeFLCfOdxwWmp,spotify:track:6kU2iL83JjeFLCfOdxwWmp,https://api.spotify.com/v1/tracks/6kU2iL83JjeFLCfOdxwWmp,https://api.spotify.com/v1/audio-analysis/6kU2iL83JjeFLCfOdxwWmp,199053,4
45,0.417,0.6,4,-10.142,0,0.0829,0.000552,0.92,0.147,0.647,125.57,audio_features,7FXNvRQGRMAQEAN5jRYMRT,spotify:track:7FXNvRQGRMAQEAN5jRYMRT,https://api.spotify.com/v1/tracks/7FXNvRQGRMAQEAN5jRYMRT,https://api.spotify.com/v1/audio-analysis/7FXNvRQGRMAQEAN5jRYMRT,208747,4
46,0.575,0.355,4,-12.681,0,0.0326,0.019,0.000179,0.12,0.363,91.131,audio_features,7v1Xwhn71TEesD2Hqi2ZWw,spotify:track:7v1Xwhn71TEesD2Hqi2ZWw,https://api.spotify.com/v1/tracks/7v1Xwhn71TEesD2Hqi2ZWw,https://api.spotify.com/v1/audio-analysis/7v1Xwhn71TEesD2Hqi2ZWw,167040,4
47,0.441,0.937,0,-9.707,1,0.0441,0.144,0.846,0.276,0.96,85.51,audio_features,5caORzBhhmdtgcVkt55ZQU,spotify:track:5caORzBhhmdtgcVkt55ZQU,https://api.spotify.com/v1/tracks/5caORzBhhmdtgcVkt55ZQU,https://api.spotify.com/v1/audio-analysis/5caORzBhhmdtgcVkt55ZQU,79400,3
48,0.565,0.679,11,-2.954,0,0.102,0.00215,0.0145,0.0244,0.452,123.647,audio_features,1HX9a1njoCFDA4gqn4VQmd,spotify:track:1HX9a1njoCFDA4gqn4VQmd,https://api.spotify.com/v1/tracks/1HX9a1njoCFDA4gqn4VQmd,https://api.spotify.com/v1/audio-analysis/1HX9a1njoCFDA4gqn4VQmd,97853,4
49,0.598,0.957,1,-5.916,0,0.229,0.34,0.684,0.0819,0.411,138.753,audio_features,7yacxvo7EPViX0t3bPC2EO,spotify:track:7yacxvo7EPViX0t3bPC2EO,https://api.spotify.com/v1/tracks/7yacxvo7EPViX0t3bPC2EO,https://api.spotify.com/v1/audio-analysis/7yacxvo7EPViX0t3bPC2EO,204747,4
50,0.359,0.949,9,-2.415,1,0.111,0.00741,0.316,0.211,0.516,159.848,audio_features,0lG57qlnluOVF5opwFoHje,spotify:track:0lG57qlnluOVF5opwFoHje,https://api.spotify.com/v1/tracks/0lG57qlnluOVF5opwFoHje,https://api.spotify.com/v1/audio-analysis/0lG57qlnluOVF5opwFoHje,100573,4
51,0.304,0.727,3,-11.464,0,0.046,0.623,0.673,0.223,0.325,147.391,audio_features,5nEeZbUIGvj4fBvjKfhm6v,spotify:track:5nEeZbUIGvj4fBvjKfhm6v,https://api.spotify.com/v1/tracks/5nEeZbUIGvj4fBvjKfhm6v,https://api.spotify.com/v1/audio-analysis/5nEeZbUIGvj4fBvjKfhm6v,98987,4
52,0.71,0.218,0,-8.467,0,0.0639,0.0172,1.26e-05,0.107,0.452,101.181,audio_features,1yLq2oKDib8k91xXD4YJqz,spotify:track:1yLq2oKDib8k91xXD4YJqz,https://api.spotify.com/v1/tracks/1yLq2oKDib8k91xXD4YJqz,https://api.spotify.com/v1/audio-analysis/1yLq2oKDib8k91xXD4YJqz,205693,4
53,0.315,0.783,11,-9.359,0,0.0605,0.915,0.573,0.259,0.665,140.826,audio_features,2DzQeVelAYwlyANgZa5MUw,spotify:track:2DzQeVelAYwlyANgZa5MUw,https://api.spotify.com/v1/tracks/2DzQeVelAYwlyANgZa5MUw,https://api.spotify.com/v1/audio-analysis/2DzQeVelAYwlyANgZa5MUw,125320,4
54,0.539,0.664,5,-7.488,1,0.034,0.287,0.000116,0.255,0.725,122.925,audio_features,2yceqlmrK5oVEuKtpoYQxR,spotify:track:2yceqlmrK5oVEuKtpoYQxR,https://api.spotify.com/v1/tracks/2yceqlmrK5oVEuKtpoYQxR,https://api.spotify.com/v1/audio-analysis/2yceqlmrK5oVEuKtpoYQxR,184953,4
55,0.703,0.289,11,-14.251,0,0.0546,0.0355,0.786,0.118,0.173,142.227,audio_features,5Uw6A9PqK3pPSnnfM3wAcI,spotify:track:5Uw6A9PqK3pPSnnfM3wAcI,https://api.spotify.com/v1/tracks/5Uw6A9PqK3pPSnnfM3wAcI,https://api.spotify.com/v1/audio-analysis/5Uw6A9PqK3pPSnnfM3wAcI,177805,4
56,0.521,0.915,11,-8.856,1,0.0872,0.0128,0.00173,0.252,0.779,139.499,audio_features,39bOphDVZ1Ewji9LmV20oJ,spotify:track:39bOphDVZ1Ewji9LmV20oJ,https://api.spotify.com/v1/tracks/39bOphDVZ1Ewji9LmV20oJ,https://api.spotify.com/v1/audio-analysis/39bOphDVZ1Ewji9LmV20oJ,187693,4
57,0.339,0.862,9,-10.279,1,0.122,0.104,0.192,0.156,0.248,177.731,audio_features,59yj4muqAmy4HtTmbeAupC,spotify:track:59yj4muqAmy4HtTmbeAupC,https://api.spotify.com/v1/tracks/59yj4muqAmy4HtTmbeAupC,https://api.spotify.com/v1/audio-analysis/59yj4muqAmy4HtTmbeAupC,233747,4
