,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.461,0.888,2,-6.092,1,0.0898,0.0132,0.419,0.105,0.117,169.919,audio_features,57tzA2bwjsgKZa3NBJvryR,spotify:track:57tzA2bwjsgKZa3NBJvryR,https://api.spotify.com/v1/tracks/57tzA2bwjsgKZa3NBJvryR,https://api.spotify.com/v1/audio-analysis/57tzA2bwjsgKZa3NBJvryR,213088,4
1,0.659,0.954,10,-5.088,0,0.074,0.0648,0.0962,0.0676,0.581,175.03,audio_features,1xxON5d7oRD6t5o7dLAPOf,spotify:track:1xxON5d7oRD6t5o7dLAPOf,https://api.spotify.com/v1/tracks/1xxON5d7oRD6t5o7dLAPOf,https://api.spotify.com/v1/audio-analysis/1xxON5d7oRD6t5o7dLAPOf,227660,4
2,0.379,0.783,10,-4.539,1,0.0905,0.00163,0.833,0.198,0.252,170.094,audio_features,1wsUKcolavN2rSXM0lwWid,spotify:track:1wsUKcolavN2rSXM0lwWid,https://api.spotify.com/v1/tracks/1wsUKcolavN2rSXM0lwWid,https://api.spotify.com/v1/audio-analysis/1wsUKcolavN2rSXM0lwWid,173811,4
3,0.44,0.996,2,-1.776,0,0.0483,0.00696,0.852,0.285,0.393,174.99,audio_features,4XexoLI5WWP2U5mmYZX0OD,spotify:track:4XexoLI5WWP2U5mmYZX0OD,https://api.spotify.com/v1/tracks/4XexoLI5WWP2U5mmYZX0OD,https://api.spotify.com/v1/audio-analysis/4XexoLI5WWP2U5mmYZX0OD,201879,4
4,0.531,0.904,7,-2.218,1,0.0867,0.000149,0.169,0.155,0.57,175.021,audio_features,2hySLuEnx3L2s3NDO82gVa,spotify:track:2hySLuEnx3L2s3NDO82gVa,https://api.spotify.com/v1/tracks/2hySLuEnx3L2s3NDO82gVa,https://api.spotify.com/v1/audio-analysis/2hySLuEnx3L2s3NDO82gVa,333257,4
5,0.578,0.631,4,-11.93,0,0.0415,0.0156,0.488,0.0578,0.484,163.883,audio_features,0yx5eBLk3AGOH5EruCqLDx,spotify:track:0yx5eBLk3AGOH5EruCqLDx,https://api.spotify.com/v1/tracks/0yx5eBLk3AGOH5EruCqLDx,https://api.spotify.com/v1/audio-analysis/0yx5eBLk3AGOH5EruCqLDx,213240,4
6,0.447,0.923,7,-4.112,0,0.154,0.0244,0.00013,0.321,0.0654,155.056,audio_features,20W46tRSC4Vrry8nH48Urs,spotify:track:20W46tRSC4Vrry8nH48Urs,https://api.spotify.com/v1/tracks/20W46tRSC4Vrry8nH48Urs,https://api.spotify.com/v1/audio-analysis/20W46tRSC4Vrry8nH48Urs,192000,4
7,0.485,0.979,2,-0.943,1,0.116,0.00792,0.00171,0.387,0.432,175.074,audio_features,56nLHj9HJr3xpbLarnr0l4,spotify:track:56nLHj9HJr3xpbLarnr0l4,https://api.spotify.com/v1/tracks/56nLHj9HJr3xpbLarnr0l4,https://api.spotify.com/v1/audio-analysis/56nLHj9HJr3xpbLarnr0l4,260530,4
8,0.49,0.953,1,-8.377,1,0.0497,0.016,0.00708,0.188,0.743,168.731,audio_features,2dxYzU1N2p18MyGhHnjIqg,spotify:track:2dxYzU1N2p18MyGhHnjIqg,https://api.spotify.com/v1/tracks/2dxYzU1N2p18MyGhHnjIqg,https://api.spotify.com/v1/audio-analysis/2dxYzU1N2p18MyGhHnjIqg,241807,4
9,0.46,0.996,8,-1.172,0,0.327,0.00304,0.0116,0.335,0.36,175.123,audio_features,61qXzQHMSwk3PStleYDJ2v,spotify:track:61qXzQHMSwk3PStleYDJ2v,https://api.spotify.com/v1/tracks/61qXzQHMSwk3PStleYDJ2v,https://api.spotify.com/v1/audio-analysis/61qXzQHMSwk3PStleYDJ2v,232632,4
10,0.479,0.984,7,-7.345,1,0.103,0.000688,0.966,0.135,0.335,175.033,audio_features,5aJpAhP4jHjuyc9GMYSUxT,spotify:track:5aJpAhP4jHjuyc9GMYSUxT,https://api.spotify.com/v1/tracks/5aJpAhP4jHjuyc9GMYSUxT,https://api.spotify.com/v1/audio-analysis/5aJpAhP4jHjuyc9GMYSUxT,248227,4
11,0.522,0.965,11,-6.326,1,0.0616,0.000109,0.123,0.115,0.052,175.004,audio_features,4dsKbk6Nfu08T5msOQ1ziT,spotify:track:4dsKbk6Nfu08T5msOQ1ziT,https://api.spotify.com/v1/tracks/4dsKbk6Nfu08T5msOQ1ziT,https://api.spotify.com/v1/audio-analysis/4dsKbk6Nfu08T5msOQ1ziT,322286,4
12,0.617,0.897,11,-5.798,0,0.122,0.00392,0.696,0.0501,0.781,175.009,audio_features,1cg2KnFWic9J0wBnUGfBMz,spotify:track:1cg2KnFWic9J0wBnUGfBMz,https://api.spotify.com/v1/tracks/1cg2KnFWic9J0wBnUGfBMz,https://api.spotify.com/v1/audio-analysis/1cg2KnFWic9J0wBnUGfBMz,342909,4
13,0.513,0.989,8,-6.978,1,0.069,0.302,0.00222,0.714,0.386,170.963,audio_features,3hE8uQOjzxvIBXPH3mIS2V,spotify:track:3hE8uQOjzxvIBXPH3mIS2V,https://api.spotify.com/v1/tracks/3hE8uQOjzxvIBXPH3mIS2V,https://api.spotify.com/v1/audio-analysis/3hE8uQOjzxvIBXPH3mIS2V,227345,4
14,0.37,0.93,7,-3.217,1,0.0849,0.305,0.00226,0.11,0.368,170.073,audio_features,6FKZQs0MHTSVfWQM5VUndJ,spotify:track:6FKZQs0MHTSVfWQM5VUndJ,https://api.spotify.com/v1/tracks/6FKZQs0MHTSVfWQM5VUndJ,https://api.spotify.com/v1/audio-analysis/6FKZQs0MHTSVfWQM5VUndJ,242000,4
15,0.63,0.975,10,-4.85,0,0.0634,0.00256,0.0723,0.0796,0.342,190.013,audio_features,6olN0JAbbEC0RLJRLkWsG5,spotify:track:6olN0JAbbEC0RLJRLkWsG5,https://api.spotify.com/v1/tracks/6olN0JAbbEC0RLJRLkWsG5,https://api.spotify.com/v1/audio-analysis/6olN0JAbbEC0RLJRLkWsG5,247579,4
16,0.48,0.985,7,-2.844,1,0.101,0.000671,0.7,0.0742,0.545,175.073,audio_features,2EydDQeftb1J917nPMbuwQ,spotify:track:2EydDQeftb1J917nPMbuwQ,https://api.spotify.com/v1/tracks/2EydDQeftb1J917nPMbuwQ,https://api.spotify.com/v1/audio-analysis/2EydDQeftb1J917nPMbuwQ,257829,4
17,0.558,0.92,9,-10.974,1,0.0722,0.0101,0.927,0.994,0.113,173.886,audio_features,5REsbbwgcV988vxeIf898f,spotify:track:5REsbbwgcV988vxeIf898f,https://api.spotify.com/v1/tracks/5REsbbwgcV988vxeIf898f,https://api.spotify.com/v1/audio-analysis/5REsbbwgcV988vxeIf898f,331572,4
18,0.578,0.958,2,-4.567,1,0.0554,0.00366,0.0123,0.258,0.666,190.012,audio_features,1yj5peLptaD52rdZ7imRPJ,spotify:track:1yj5peLptaD52rdZ7imRPJ,https://api.spotify.com/v1/tracks/1yj5peLptaD52rdZ7imRPJ,https://api.spotify.com/v1/audio-analysis/1yj5peLptaD52rdZ7imRPJ,186395,4
