,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.654,0.828,1,-5.377,0,0.0281,0.00146,0.000144,0.122,0.79,112.056,audio_features,2x8evxqUlF0eRabbW2JBJd,spotify:track:2x8evxqUlF0eRabbW2JBJd,https://api.spotify.com/v1/tracks/2x8evxqUlF0eRabbW2JBJd,https://api.spotify.com/v1/audio-analysis/2x8evxqUlF0eRabbW2JBJd,183893,4
1,0.405,0.783,8,-5.408,1,0.0404,0.00306,0.0,0.0635,0.842,156.085,audio_features,73JnItJ3dofEssv5hWFHDs,spotify:track:73JnItJ3dofEssv5hWFHDs,https://api.spotify.com/v1/tracks/73JnItJ3dofEssv5hWFHDs,https://api.spotify.com/v1/audio-analysis/73JnItJ3dofEssv5hWFHDs,244400,4
2,0.59,0.829,0,-5.649,1,0.0419,0.0601,3.99e-05,0.19,0.704,144.099,audio_features,1Ug5wxoHthwxctyWTUMGta,spotify:track:1Ug5wxoHthwxctyWTUMGta,https://api.spotify.com/v1/tracks/1Ug5wxoHthwxctyWTUMGta,https://api.spotify.com/v1/audio-analysis/1Ug5wxoHthwxctyWTUMGta,193107,4
3,0.546,0.878,7,-5.137,1,0.0525,0.0133,0.0,0.135,0.35,119.945,audio_features,0S9sCEqXbgDZer7ACyb03K,spotify:track:0S9sCEqXbgDZer7ACyb03K,https://api.spotify.com/v1/tracks/0S9sCEqXbgDZer7ACyb03K,https://api.spotify.com/v1/audio-analysis/0S9sCEqXbgDZer7ACyb03K,255400,4
4,0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,audio_features,20I8RduZC2PWMWTDCZuuAN,spotify:track:20I8RduZC2PWMWTDCZuuAN,https://api.spotify.com/v1/tracks/20I8RduZC2PWMWTDCZuuAN,https://api.spotify.com/v1/audio-analysis/20I8RduZC2PWMWTDCZuuAN,237027,4
5,0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,audio_features,57Xjny5yNzAcsxnusKmAfA,spotify:track:57Xjny5yNzAcsxnusKmAfA,https://api.spotify.com/v1/tracks/57Xjny5yNzAcsxnusKmAfA,https://api.spotify.com/v1/audio-analysis/57Xjny5yNzAcsxnusKmAfA,219827,4
6,0.517,0.711,6,-5.84,0,0.0627,0.000763,7.15e-06,0.568,0.582,108.846,audio_features,3C542UknrX76XSRXTyQ1Qg,spotify:track:3C542UknrX76XSRXTyQ1Qg,https://api.spotify.com/v1/tracks/3C542UknrX76XSRXTyQ1Qg,https://api.spotify.com/v1/audio-analysis/3C542UknrX76XSRXTyQ1Qg,211336,4
7,0.446,0.871,2,-4.902,1,0.116,0.000252,8.13e-06,0.0996,0.612,159.863,audio_features,6GQLX6Z28fYwDNCrhaKzYF,spotify:track:6GQLX6Z28fYwDNCrhaKzYF,https://api.spotify.com/v1/tracks/6GQLX6Z28fYwDNCrhaKzYF,https://api.spotify.com/v1/audio-analysis/6GQLX6Z28fYwDNCrhaKzYF,166573,4
8,0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961,audio_features,2ihCaVdNZmnHZWt0fvAM7B,spotify:track:2ihCaVdNZmnHZWt0fvAM7B,https://api.spotify.com/v1/tracks/2ihCaVdNZmnHZWt0fvAM7B,https://api.spotify.com/v1/audio-analysis/2ihCaVdNZmnHZWt0fvAM7B,266600,4
9,0.733,0.882,0,-4.199,0,0.0389,0.051,9.92e-06,0.131,0.854,123.071,audio_features,3huV7eiNpaQlCB3LbZi9bB,spotify:track:3huV7eiNpaQlCB3LbZi9bB,https://api.spotify.com/v1/tracks/3huV7eiNpaQlCB3LbZi9bB,https://api.spotify.com/v1/audio-analysis/3huV7eiNpaQlCB3LbZi9bB,221413,4
