,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.619,0.754,11,-8.547,0,0.0288,0.0563,0.836,0.346,0.345,119.979,audio_features,4Bs3pByZTiTnydLcbZCMmh,spotify:track:4Bs3pByZTiTnydLcbZCMmh,https://api.spotify.com/v1/tracks/4Bs3pByZTiTnydLcbZCMmh,https://api.spotify.com/v1/audio-analysis/4Bs3pByZTiTnydLcbZCMmh,161213,4
1,0.426,0.921,2,-2.469,1,0.0529,0.000793,1.38e-06,0.169,0.895,187.415,audio_features,2HZGsnMByx3V8KmNW6LqWF,spotify:track:2HZGsnMByx3V8KmNW6LqWF,https://api.spotify.com/v1/tracks/2HZGsnMByx3V8KmNW6LqWF,https://api.spotify.com/v1/audio-analysis/2HZGsnMByx3V8KmNW6LqWF,126453,4
2,0.582,0.571,10,-5.559,0,0.0314,0.817,0.903,0.109,0.514,121.975,audio_features,6r9JDCX8gol542ED9PSrUN,spotify:track:6r9JDCX8gol542ED9PSrUN,https://api.spotify.com/v1/tracks/6r9JDCX8gol542ED9PSrUN,https://api.spotify.com/v1/audio-analysis/6r9JDCX8gol542ED9PSrUN,123991,4
3,0.458,0.919,4,-7.882,0,0.0311,0.174,0.949,0.253,0.896,161.972,audio_features,3uvrFjnUsX8fyow9GPFmkc,spotify:track:3uvrFjnUsX8fyow9GPFmkc,https://api.spotify.com/v1/tracks/3uvrFjnUsX8fyow9GPFmkc,https://api.spotify.com/v1/audio-analysis/3uvrFjnUsX8fyow9GPFmkc,135952,4
4,0.477,0.828,11,-12.964,0,0.0569,0.252,0.0,0.358,0.663,152.273,audio_features,2UVOE5RJFc3Pd9dMA9U6kv,spotify:track:2UVOE5RJFc3Pd9dMA9U6kv,https://api.spotify.com/v1/tracks/2UVOE5RJFc3Pd9dMA9U6kv,https://api.spotify.com/v1/audio-analysis/2UVOE5RJFc3Pd9dMA9U6kv,139173,4
5,0.382,0.935,4,-5.116,0,0.0437,0.000442,0.885,0.241,0.696,173.745,audio_features,0VK0xC5DDODZELX5MR2fxk,spotify:track:0VK0xC5DDODZELX5MR2fxk,https://api.spotify.com/v1/tracks/0VK0xC5DDODZELX5MR2fxk,https://api.spotify.com/v1/audio-analysis/0VK0xC5DDODZELX5MR2fxk,118286,4
6,0.428,0.938,4,-5.127,0,0.0722,0.000235,0.422,0.377,0.724,143.923,audio_features,3fsy7XHAaVM4LHb632587a,spotify:track:3fsy7XHAaVM4LHb632587a,https://api.spotify.com/v1/tracks/3fsy7XHAaVM4LHb632587a,https://api.spotify.com/v1/audio-analysis/3fsy7XHAaVM4LHb632587a,215516,4
7,0.251,0.96,9,-9.217,0,0.0634,3.61e-06,0.905,0.63,0.417,176.753,audio_features,0FXagiQE5lYWnd5oohCJ5H,spotify:track:0FXagiQE5lYWnd5oohCJ5H,https://api.spotify.com/v1/tracks/0FXagiQE5lYWnd5oohCJ5H,https://api.spotify.com/v1/audio-analysis/0FXagiQE5lYWnd5oohCJ5H,188347,4
8,0.232,0.974,4,-3.853,1,0.13,8.13e-05,3.88e-05,0.158,0.5,171.239,audio_features,4ocTV4GJYwldjfrAamNVVB,spotify:track:4ocTV4GJYwldjfrAamNVVB,https://api.spotify.com/v1/tracks/4ocTV4GJYwldjfrAamNVVB,https://api.spotify.com/v1/audio-analysis/4ocTV4GJYwldjfrAamNVVB,110831,4
9,0.174,0.928,0,-6.245,1,0.0666,0.00209,0.829,0.318,0.381,170.14,audio_features,3Slvlle0532WoS40RV64gC,spotify:track:3Slvlle0532WoS40RV64gC,https://api.spotify.com/v1/tracks/3Slvlle0532WoS40RV64gC,https://api.spotify.com/v1/audio-analysis/3Slvlle0532WoS40RV64gC,216413,4
10,0.583,0.94,11,-4.96,0,0.0468,0.000226,0.74,0.363,0.716,134.96,audio_features,0QNNIC5HF4uNvTkZvJ24OJ,spotify:track:0QNNIC5HF4uNvTkZvJ24OJ,https://api.spotify.com/v1/tracks/0QNNIC5HF4uNvTkZvJ24OJ,https://api.spotify.com/v1/audio-analysis/0QNNIC5HF4uNvTkZvJ24OJ,158691,4
11,0.197,0.739,8,-4.199,1,0.034,0.00444,0.0145,0.0571,0.494,81.547,audio_features,6J62rIWsb2IWmRqOXyaXZe,spotify:track:6J62rIWsb2IWmRqOXyaXZe,https://api.spotify.com/v1/tracks/6J62rIWsb2IWmRqOXyaXZe,https://api.spotify.com/v1/audio-analysis/6J62rIWsb2IWmRqOXyaXZe,181448,4
12,0.48,0.621,5,-5.208,1,0.0291,0.577,0.903,0.119,0.388,121.793,audio_features,6lUssHEJSV8Z8N4pQIyutc,spotify:track:6lUssHEJSV8Z8N4pQIyutc,https://api.spotify.com/v1/tracks/6lUssHEJSV8Z8N4pQIyutc,https://api.spotify.com/v1/audio-analysis/6lUssHEJSV8Z8N4pQIyutc,170981,4
13,0.262,0.929,9,-7.708,1,0.0653,0.00196,0.951,0.365,0.357,147.124,audio_features,2WdZGB2alCmt3InZRsSpPU,spotify:track:2WdZGB2alCmt3InZRsSpPU,https://api.spotify.com/v1/tracks/2WdZGB2alCmt3InZRsSpPU,https://api.spotify.com/v1/audio-analysis/2WdZGB2alCmt3InZRsSpPU,209573,4
14,0.454,0.744,9,-5.079,1,0.0287,0.141,0.85,0.241,0.747,165.595,audio_features,2EsYM9pRhlVYGiv9pMMOTY,spotify:track:2EsYM9pRhlVYGiv9pMMOTY,https://api.spotify.com/v1/tracks/2EsYM9pRhlVYGiv9pMMOTY,https://api.spotify.com/v1/audio-analysis/2EsYM9pRhlVYGiv9pMMOTY,142786,4
15,0.356,0.921,11,-4.326,1,0.0522,0.217,0.000829,0.363,0.65,130.199,audio_features,3inUEbcSUqhEdh2T7NO0in,spotify:track:3inUEbcSUqhEdh2T7NO0in,https://api.spotify.com/v1/tracks/3inUEbcSUqhEdh2T7NO0in,https://api.spotify.com/v1/audio-analysis/3inUEbcSUqhEdh2T7NO0in,124511,4
16,0.34,0.898,9,-5.195,0,0.0474,0.00302,0.866,0.0767,0.849,171.877,audio_features,6XzX3FMyoC17bITALPLOhj,spotify:track:6XzX3FMyoC17bITALPLOhj,https://api.spotify.com/v1/tracks/6XzX3FMyoC17bITALPLOhj,https://api.spotify.com/v1/audio-analysis/6XzX3FMyoC17bITALPLOhj,118953,4
17,0.0965,0.954,5,-8.43,0,0.119,2.45e-06,0.899,0.488,0.23,185.243,audio_features,0PSaZk2VXluHMADF6N5Rnu,spotify:track:0PSaZk2VXluHMADF6N5Rnu,https://api.spotify.com/v1/tracks/0PSaZk2VXluHMADF6N5Rnu,https://api.spotify.com/v1/audio-analysis/0PSaZk2VXluHMADF6N5Rnu,185795,4
18,0.358,0.91,7,-2.487,1,0.125,2.18e-05,0.0,0.264,0.728,199.955,audio_features,0FnuaL9AcJxAdzwGPcIHVr,spotify:track:0FnuaL9AcJxAdzwGPcIHVr,https://api.spotify.com/v1/tracks/0FnuaL9AcJxAdzwGPcIHVr,https://api.spotify.com/v1/audio-analysis/0FnuaL9AcJxAdzwGPcIHVr,188155,4
19,0.577,0.906,9,-3.957,1,0.0275,0.0595,0.851,0.252,0.883,135.986,audio_features,4Pp1mDYLiMSHniowAzXfaC,spotify:track:4Pp1mDYLiMSHniowAzXfaC,https://api.spotify.com/v1/tracks/4Pp1mDYLiMSHniowAzXfaC,https://api.spotify.com/v1/audio-analysis/4Pp1mDYLiMSHniowAzXfaC,172764,4
20,0.393,0.959,0,-3.284,1,0.0498,0.000142,0.889,0.0978,0.889,162.013,audio_features,4QdZ1B2V9fOOVMc5mwGgiB,spotify:track:4QdZ1B2V9fOOVMc5mwGgiB,https://api.spotify.com/v1/tracks/4QdZ1B2V9fOOVMc5mwGgiB,https://api.spotify.com/v1/audio-analysis/4QdZ1B2V9fOOVMc5mwGgiB,134863,4
21,0.576,0.952,3,-4.086,1,0.0359,0.00171,0.000377,0.507,0.776,107.99,audio_features,71ZzqIzSNKye1tmtn0dSlk,spotify:track:71ZzqIzSNKye1tmtn0dSlk,https://api.spotify.com/v1/tracks/71ZzqIzSNKye1tmtn0dSlk,https://api.spotify.com/v1/audio-analysis/71ZzqIzSNKye1tmtn0dSlk,195387,4
22,0.394,0.525,11,-6.19,1,0.0272,0.461,0.413,0.0939,0.386,111.702,audio_features,7cYuXEJSfRLZUrekVDh6jh,spotify:track:7cYuXEJSfRLZUrekVDh6jh,https://api.spotify.com/v1/tracks/7cYuXEJSfRLZUrekVDh6jh,https://api.spotify.com/v1/audio-analysis/7cYuXEJSfRLZUrekVDh6jh,211829,4
23,0.462,0.98,1,-4.615,1,0.0589,9.22e-06,0.000795,0.0743,0.673,139.98,audio_features,5tCHUzGvUvXQFeqAoHQeOR,spotify:track:5tCHUzGvUvXQFeqAoHQeOR,https://api.spotify.com/v1/tracks/5tCHUzGvUvXQFeqAoHQeOR,https://api.spotify.com/v1/audio-analysis/5tCHUzGvUvXQFeqAoHQeOR,179143,4
24,0.351,0.956,9,-8.624,1,0.0669,1.79e-05,0.878,0.123,0.578,163.704,audio_features,3XS80XY5hcdPMAJDVS8jml,spotify:track:3XS80XY5hcdPMAJDVS8jml,https://api.spotify.com/v1/tracks/3XS80XY5hcdPMAJDVS8jml,https://api.spotify.com/v1/audio-analysis/3XS80XY5hcdPMAJDVS8jml,152189,4
25,0.47,0.873,4,-6.052,0,0.0383,0.0202,0.812,0.152,0.15,145.964,audio_features,3syWpsXzA655LgZYkJdMh7,spotify:track:3syWpsXzA655LgZYkJdMh7,https://api.spotify.com/v1/tracks/3syWpsXzA655LgZYkJdMh7,https://api.spotify.com/v1/audio-analysis/3syWpsXzA655LgZYkJdMh7,134815,4
26,0.329,0.913,1,-2.624,0,0.104,0.00173,1.49e-05,0.195,0.782,184.657,audio_features,1GTPRD8z9c7kVDqwGbn52f,spotify:track:1GTPRD8z9c7kVDqwGbn52f,https://api.spotify.com/v1/tracks/1GTPRD8z9c7kVDqwGbn52f,https://api.spotify.com/v1/audio-analysis/1GTPRD8z9c7kVDqwGbn52f,153800,4
27,0.459,0.943,0,-10.17,1,0.0422,0.00158,0.788,0.187,0.929,169.958,audio_features,3IKd0emEj7VmtqtFTnqYCh,spotify:track:3IKd0emEj7VmtqtFTnqYCh,https://api.spotify.com/v1/tracks/3IKd0emEj7VmtqtFTnqYCh,https://api.spotify.com/v1/audio-analysis/3IKd0emEj7VmtqtFTnqYCh,168124,4
28,0.51,0.952,7,-4.753,1,0.0347,0.000464,7.87e-05,0.301,0.856,98.973,audio_features,6SQdbrDRS5q7WVnsOK27Fy,spotify:track:6SQdbrDRS5q7WVnsOK27Fy,https://api.spotify.com/v1/tracks/6SQdbrDRS5q7WVnsOK27Fy,https://api.spotify.com/v1/audio-analysis/6SQdbrDRS5q7WVnsOK27Fy,118520,4
29,0.139,0.861,10,-7.993,1,0.0325,2.21e-06,0.88,0.219,0.775,169.515,audio_features,4wQ3UShkaTeA1m7em2jtZD,spotify:track:4wQ3UShkaTeA1m7em2jtZD,https://api.spotify.com/v1/tracks/4wQ3UShkaTeA1m7em2jtZD,https://api.spotify.com/v1/audio-analysis/4wQ3UShkaTeA1m7em2jtZD,214032,4
30,0.147,0.823,2,-5.548,1,0.0456,7.84e-05,0.782,0.163,0.82,166.679,audio_features,519V4csz8oDu4KQLae3ak9,spotify:track:519V4csz8oDu4KQLae3ak9,https://api.spotify.com/v1/tracks/519V4csz8oDu4KQLae3ak9,https://api.spotify.com/v1/audio-analysis/519V4csz8oDu4KQLae3ak9,141760,4
31,0.778,0.667,11,-7.273,1,0.0258,0.0514,0.0312,0.092,0.964,96.954,audio_features,165NAtd2DRPKNQ6EVY0VG9,spotify:track:165NAtd2DRPKNQ6EVY0VG9,https://api.spotify.com/v1/tracks/165NAtd2DRPKNQ6EVY0VG9,https://api.spotify.com/v1/audio-analysis/165NAtd2DRPKNQ6EVY0VG9,233893,4
32,0.159,0.783,6,-7.846,0,0.045,4.77e-06,0.913,0.118,0.392,195.861,audio_features,4G0l6KfoklHVj4dRtrJlBY,spotify:track:4G0l6KfoklHVj4dRtrJlBY,https://api.spotify.com/v1/tracks/4G0l6KfoklHVj4dRtrJlBY,https://api.spotify.com/v1/audio-analysis/4G0l6KfoklHVj4dRtrJlBY,167960,4
33,0.517,0.908,2,-5.802,1,0.0325,0.125,0.933,0.106,0.745,140.004,audio_features,5cw0FyZ0Empz2dONJYcIeK,spotify:track:5cw0FyZ0Empz2dONJYcIeK,https://api.spotify.com/v1/tracks/5cw0FyZ0Empz2dONJYcIeK,https://api.spotify.com/v1/audio-analysis/5cw0FyZ0Empz2dONJYcIeK,146480,4
34,0.435,0.704,5,-7.042,1,0.027,0.0092,0.094,0.0823,0.523,82.225,audio_features,4jNh1gzjMLgbquQ6plIeMv,spotify:track:4jNh1gzjMLgbquQ6plIeMv,https://api.spotify.com/v1/tracks/4jNh1gzjMLgbquQ6plIeMv,https://api.spotify.com/v1/audio-analysis/4jNh1gzjMLgbquQ6plIeMv,167586,4
35,0.232,0.934,9,-7.46,1,0.115,0.0018,0.628,0.354,0.399,166.913,audio_features,2uRtw2DZVITE151uJu9hjR,spotify:track:2uRtw2DZVITE151uJu9hjR,https://api.spotify.com/v1/tracks/2uRtw2DZVITE151uJu9hjR,https://api.spotify.com/v1/audio-analysis/2uRtw2DZVITE151uJu9hjR,181283,4
