,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.45,0.837,1,-5.312,1,0.0346,8.27e-06,0.947,0.111,0.531,159.973,audio_features,6X3M5CllCtAjKVkL3vnqlQ,spotify:track:6X3M5CllCtAjKVkL3vnqlQ,https://api.spotify.com/v1/tracks/6X3M5CllCtAjKVkL3vnqlQ,https://api.spotify.com/v1/audio-analysis/6X3M5CllCtAjKVkL3vnqlQ,248400,4
1,0.414,0.694,1,-11.366,1,0.0473,8.57e-05,0.807,0.111,0.58,174.935,audio_features,3mztR2jv7VaNccNo1cEIHw,spotify:track:3mztR2jv7VaNccNo1cEIHw,https://api.spotify.com/v1/tracks/3mztR2jv7VaNccNo1cEIHw,https://api.spotify.com/v1/audio-analysis/3mztR2jv7VaNccNo1cEIHw,178286,4
2,0.502,0.924,0,-6.315,1,0.0375,0.462,0.85,0.23,0.869,160.018,audio_features,6sShc4tkAu2OMULhdtb7dK,spotify:track:6sShc4tkAu2OMULhdtb7dK,https://api.spotify.com/v1/tracks/6sShc4tkAu2OMULhdtb7dK,https://api.spotify.com/v1/audio-analysis/6sShc4tkAu2OMULhdtb7dK,109500,4
3,0.524,0.85,6,-5.541,0,0.0461,7.29e-06,0.0142,0.152,0.96,159.982,audio_features,04xdNNpZBwXtZKfUTxdU3I,spotify:track:04xdNNpZBwXtZKfUTxdU3I,https://api.spotify.com/v1/tracks/04xdNNpZBwXtZKfUTxdU3I,https://api.spotify.com/v1/audio-analysis/04xdNNpZBwXtZKfUTxdU3I,155893,4
4,0.717,0.4,0,-9.898,1,0.124,0.14,0.656,0.134,0.253,117.98,audio_features,5KzYPziILXOr9Ww5r4PIDM,spotify:track:5KzYPziILXOr9Ww5r4PIDM,https://api.spotify.com/v1/tracks/5KzYPziILXOr9Ww5r4PIDM,https://api.spotify.com/v1/audio-analysis/5KzYPziILXOr9Ww5r4PIDM,133741,4
5,0.697,0.686,10,-9.602,1,0.0283,0.0344,0.76,0.113,0.679,135.022,audio_features,4olsMaLbdIBrk2Iwq0s00V,spotify:track:4olsMaLbdIBrk2Iwq0s00V,https://api.spotify.com/v1/tracks/4olsMaLbdIBrk2Iwq0s00V,https://api.spotify.com/v1/audio-analysis/4olsMaLbdIBrk2Iwq0s00V,327389,4
6,0.47,0.693,11,-11.911,0,0.0424,0.00839,0.742,0.148,0.601,175.032,audio_features,1K3MgcOvkB31JH2apPVLeG,spotify:track:1K3MgcOvkB31JH2apPVLeG,https://api.spotify.com/v1/tracks/1K3MgcOvkB31JH2apPVLeG,https://api.spotify.com/v1/audio-analysis/1K3MgcOvkB31JH2apPVLeG,166008,4
7,0.608,0.76,9,-6.803,1,0.0291,0.0163,0.66,0.124,0.399,128.004,audio_features,3BjFcVP5mCRocHRuz1JeT5,spotify:track:3BjFcVP5mCRocHRuz1JeT5,https://api.spotify.com/v1/tracks/3BjFcVP5mCRocHRuz1JeT5,https://api.spotify.com/v1/audio-analysis/3BjFcVP5mCRocHRuz1JeT5,142500,3
8,0.402,0.836,7,-5.629,1,0.0405,0.00749,0.000258,0.334,0.596,161.995,audio_features,0LO5lEv8Pc7FlyuhC1tfHl,spotify:track:0LO5lEv8Pc7FlyuhC1tfHl,https://api.spotify.com/v1/tracks/0LO5lEv8Pc7FlyuhC1tfHl,https://api.spotify.com/v1/audio-analysis/0LO5lEv8Pc7FlyuhC1tfHl,159067,4
9,0.458,0.919,9,-4.793,1,0.0309,0.000127,0.0313,0.0988,0.356,140.006,audio_features,6HNnnz4Uo1DZCUTVXmH95d,spotify:track:6HNnnz4Uo1DZCUTVXmH95d,https://api.spotify.com/v1/tracks/6HNnnz4Uo1DZCUTVXmH95d,https://api.spotify.com/v1/audio-analysis/6HNnnz4Uo1DZCUTVXmH95d,198911,4
10,0.785,0.395,9,-10.333,1,0.056,0.0149,0.125,0.0991,0.869,126.034,audio_features,45wU0gt5K1RGPGqfhP71Vx,spotify:track:45wU0gt5K1RGPGqfhP71Vx,https://api.spotify.com/v1/tracks/45wU0gt5K1RGPGqfhP71Vx,https://api.spotify.com/v1/audio-analysis/45wU0gt5K1RGPGqfhP71Vx,225833,4
11,0.635,0.884,11,-8.495,0,0.0735,0.00157,0.648,0.0993,0.7,180.03,audio_features,0qesV7nklv3s8rq8J61NhM,spotify:track:0qesV7nklv3s8rq8J61NhM,https://api.spotify.com/v1/tracks/0qesV7nklv3s8rq8J61NhM,https://api.spotify.com/v1/audio-analysis/0qesV7nklv3s8rq8J61NhM,192000,4
12,0.666,0.777,1,-8.775,1,0.086,0.00017,0.804,0.106,0.658,160.004,audio_features,7vvultYHYCuFk0AJWa5c9O,spotify:track:7vvultYHYCuFk0AJWa5c9O,https://api.spotify.com/v1/tracks/7vvultYHYCuFk0AJWa5c9O,https://api.spotify.com/v1/audio-analysis/7vvultYHYCuFk0AJWa5c9O,198000,4
13,0.525,0.737,1,-6.677,1,0.0248,0.0798,0.807,0.146,0.239,101.827,audio_features,0hsfHBwHwrKEMJn0xTrbFs,spotify:track:0hsfHBwHwrKEMJn0xTrbFs,https://api.spotify.com/v1/tracks/0hsfHBwHwrKEMJn0xTrbFs,https://api.spotify.com/v1/audio-analysis/0hsfHBwHwrKEMJn0xTrbFs,221502,4
14,0.477,0.783,6,-6.452,0,0.0345,0.0322,0.975,0.0995,0.873,159.965,audio_features,44f0f4yJmFIGKQqxX2heUi,spotify:track:44f0f4yJmFIGKQqxX2heUi,https://api.spotify.com/v1/tracks/44f0f4yJmFIGKQqxX2heUi,https://api.spotify.com/v1/audio-analysis/44f0f4yJmFIGKQqxX2heUi,163500,4
15,0.602,0.789,5,-8.123,0,0.0277,0.000497,0.025,0.326,0.504,119.993,audio_features,4F0lvDZ2pWl6fcNRvXSeQy,spotify:track:4F0lvDZ2pWl6fcNRvXSeQy,https://api.spotify.com/v1/tracks/4F0lvDZ2pWl6fcNRvXSeQy,https://api.spotify.com/v1/audio-analysis/4F0lvDZ2pWl6fcNRvXSeQy,242543,4
16,0.631,0.798,5,-5.924,1,0.0447,0.00303,0.893,0.451,0.801,74.995,audio_features,4eU2yAaJ64J2oft5pl8vwk,spotify:track:4eU2yAaJ64J2oft5pl8vwk,https://api.spotify.com/v1/tracks/4eU2yAaJ64J2oft5pl8vwk,https://api.spotify.com/v1/audio-analysis/4eU2yAaJ64J2oft5pl8vwk,316800,4
17,0.411,0.722,6,-5.256,0,0.033,0.000205,0.748,0.263,0.345,153.044,audio_features,5emsHiwPQwRoI2NXDR3eAj,spotify:track:5emsHiwPQwRoI2NXDR3eAj,https://api.spotify.com/v1/tracks/5emsHiwPQwRoI2NXDR3eAj,https://api.spotify.com/v1/audio-analysis/5emsHiwPQwRoI2NXDR3eAj,240305,4
18,0.684,0.67,0,-10.665,1,0.0387,0.0462,0.00606,0.233,0.781,90.041,audio_features,33hEWEZGWuaYr64MWquDnP,spotify:track:33hEWEZGWuaYr64MWquDnP,https://api.spotify.com/v1/tracks/33hEWEZGWuaYr64MWquDnP,https://api.spotify.com/v1/audio-analysis/33hEWEZGWuaYr64MWquDnP,266750,4
19,0.512,0.816,6,-7.289,0,0.0291,0.0281,0.932,0.122,0.773,140.01,audio_features,4zcVHb29WjQmc2qKVFuyfz,spotify:track:4zcVHb29WjQmc2qKVFuyfz,https://api.spotify.com/v1/tracks/4zcVHb29WjQmc2qKVFuyfz,https://api.spotify.com/v1/audio-analysis/4zcVHb29WjQmc2qKVFuyfz,205714,4
