,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.419,0.932,1,-3.604,0,0.106,0.00171,0.0,0.137,0.445,169.881,audio_features,47IWLfIKOKhFnz1FUEUIkE,spotify:track:47IWLfIKOKhFnz1FUEUIkE,https://api.spotify.com/v1/tracks/47IWLfIKOKhFnz1FUEUIkE,https://api.spotify.com/v1/audio-analysis/47IWLfIKOKhFnz1FUEUIkE,268000,4
1,0.371,0.96,2,-3.163,1,0.0973,3.36e-05,1.49e-05,0.271,0.539,168.116,audio_features,2NnqiBe3fmYkYDo0OXe4CQ,spotify:track:2NnqiBe3fmYkYDo0OXe4CQ,https://api.spotify.com/v1/tracks/2NnqiBe3fmYkYDo0OXe4CQ,https://api.spotify.com/v1/audio-analysis/2NnqiBe3fmYkYDo0OXe4CQ,203573,4
2,0.522,0.88,5,-4.104,0,0.0633,9.38e-05,0.00111,0.0812,0.701,174.762,audio_features,0arNrzPygksLY2pEbRgBjw,spotify:track:0arNrzPygksLY2pEbRgBjw,https://api.spotify.com/v1/tracks/0arNrzPygksLY2pEbRgBjw,https://api.spotify.com/v1/audio-analysis/0arNrzPygksLY2pEbRgBjw,219267,4
3,0.489,0.741,11,-7.406,0,0.0624,0.0414,0.00313,0.186,0.18,109.805,audio_features,1mwvhdWyZruSSMhvOWbfCv,spotify:track:1mwvhdWyZruSSMhvOWbfCv,https://api.spotify.com/v1/tracks/1mwvhdWyZruSSMhvOWbfCv,https://api.spotify.com/v1/audio-analysis/1mwvhdWyZruSSMhvOWbfCv,414926,4
4,0.226,0.905,8,-3.239,1,0.0942,0.0509,0.0,0.281,0.475,80.349,audio_features,7xCcUcMcGsIYGKUVgBZUw5,spotify:track:7xCcUcMcGsIYGKUVgBZUw5,https://api.spotify.com/v1/tracks/7xCcUcMcGsIYGKUVgBZUw5,https://api.spotify.com/v1/audio-analysis/7xCcUcMcGsIYGKUVgBZUw5,205707,4
5,0.588,0.881,0,-4.62,1,0.0666,0.000252,0.0,0.326,0.709,129.947,audio_features,1KHKeIouP04dDtl0EetgED,spotify:track:1KHKeIouP04dDtl0EetgED,https://api.spotify.com/v1/tracks/1KHKeIouP04dDtl0EetgED,https://api.spotify.com/v1/audio-analysis/1KHKeIouP04dDtl0EetgED,209093,4
6,0.394,0.975,2,-3.533,0,0.315,0.00151,0.0,0.118,0.466,192.021,audio_features,2Tc9VznHtQUmfOgE3L1RdN,spotify:track:2Tc9VznHtQUmfOgE3L1RdN,https://api.spotify.com/v1/tracks/2Tc9VznHtQUmfOgE3L1RdN,https://api.spotify.com/v1/audio-analysis/2Tc9VznHtQUmfOgE3L1RdN,250240,4
7,0.472,0.925,6,-3.545,0,0.15,0.000394,0.000528,0.0826,0.338,159.989,audio_features,23UoI3jlFiWdo5jadUYo69,spotify:track:23UoI3jlFiWdo5jadUYo69,https://api.spotify.com/v1/tracks/23UoI3jlFiWdo5jadUYo69,https://api.spotify.com/v1/audio-analysis/23UoI3jlFiWdo5jadUYo69,267867,4
8,0.552,0.836,6,-5.608,1,0.0453,0.00942,0.0,0.372,0.432,140.496,audio_features,6fTgbkBiMITtHUmik95ClX,spotify:track:6fTgbkBiMITtHUmik95ClX,https://api.spotify.com/v1/tracks/6fTgbkBiMITtHUmik95ClX,https://api.spotify.com/v1/audio-analysis/6fTgbkBiMITtHUmik95ClX,208280,4
9,0.348,0.987,2,-3.172,0,0.232,1.62e-05,0.0365,0.286,0.135,159.995,audio_features,2gY3Z3f1Qe4vWnw15dBkSw,spotify:track:2gY3Z3f1Qe4vWnw15dBkSw,https://api.spotify.com/v1/tracks/2gY3Z3f1Qe4vWnw15dBkSw,https://api.spotify.com/v1/audio-analysis/2gY3Z3f1Qe4vWnw15dBkSw,211893,4
10,0.403,0.965,6,-2.238,1,0.0964,3.81e-05,0.000276,0.341,0.431,112.363,audio_features,1IT0WQk5J8NsaeII8ktdlZ,spotify:track:1IT0WQk5J8NsaeII8ktdlZ,https://api.spotify.com/v1/tracks/1IT0WQk5J8NsaeII8ktdlZ,https://api.spotify.com/v1/audio-analysis/1IT0WQk5J8NsaeII8ktdlZ,236293,4
11,0.332,0.976,2,-3.242,1,0.112,9.3e-06,0.000103,0.318,0.453,170.048,audio_features,3PHhctErNOXWqevrZDUyNy,spotify:track:3PHhctErNOXWqevrZDUyNy,https://api.spotify.com/v1/tracks/3PHhctErNOXWqevrZDUyNy,https://api.spotify.com/v1/audio-analysis/3PHhctErNOXWqevrZDUyNy,187547,4
12,0.566,0.835,8,-6.87,0,0.0742,0.0356,0.0,0.241,0.606,170.066,audio_features,23DHUWJ7iEieNPMPKvjzBV,spotify:track:23DHUWJ7iEieNPMPKvjzBV,https://api.spotify.com/v1/tracks/23DHUWJ7iEieNPMPKvjzBV,https://api.spotify.com/v1/audio-analysis/23DHUWJ7iEieNPMPKvjzBV,244480,4
13,0.226,0.891,9,-5.531,0,0.0702,0.000631,9.75e-06,0.225,0.511,167.876,audio_features,4OsLDuaH0bWR6xM6nj66F8,spotify:track:4OsLDuaH0bWR6xM6nj66F8,https://api.spotify.com/v1/tracks/4OsLDuaH0bWR6xM6nj66F8,https://api.spotify.com/v1/audio-analysis/4OsLDuaH0bWR6xM6nj66F8,237680,4
14,0.273,0.973,1,-3.324,0,0.0806,0.000856,0.0,0.388,0.186,133.286,audio_features,6RObeP8IVb4X4nCLUCJ9Dx,spotify:track:6RObeP8IVb4X4nCLUCJ9Dx,https://api.spotify.com/v1/tracks/6RObeP8IVb4X4nCLUCJ9Dx,https://api.spotify.com/v1/audio-analysis/6RObeP8IVb4X4nCLUCJ9Dx,229120,4
15,0.481,0.973,7,-1.945,1,0.0542,0.0037,0.000877,0.325,0.362,99.331,audio_features,0uukw2CgEIApv4IWAjXrBC,spotify:track:0uukw2CgEIApv4IWAjXrBC,https://api.spotify.com/v1/tracks/0uukw2CgEIApv4IWAjXrBC,https://api.spotify.com/v1/audio-analysis/0uukw2CgEIApv4IWAjXrBC,195520,4
16,0.368,0.871,2,-3.395,0,0.106,0.0346,0.0,0.0599,0.527,84.585,audio_features,4vqmSmLC0dbw1UF7mmUDZe,spotify:track:4vqmSmLC0dbw1UF7mmUDZe,https://api.spotify.com/v1/tracks/4vqmSmLC0dbw1UF7mmUDZe,https://api.spotify.com/v1/audio-analysis/4vqmSmLC0dbw1UF7mmUDZe,204693,4
17,0.299,0.933,6,-6.874,0,0.17,0.0742,1.21e-05,0.0723,0.205,180.092,audio_features,6tKky3l379dnGe7F85ztrJ,spotify:track:6tKky3l379dnGe7F85ztrJ,https://api.spotify.com/v1/tracks/6tKky3l379dnGe7F85ztrJ,https://api.spotify.com/v1/audio-analysis/6tKky3l379dnGe7F85ztrJ,225040,3
18,0.318,0.808,8,-7.186,1,0.0703,0.000257,0.0146,0.283,0.219,147.74,audio_features,2Hy81a71pPf5lPWTq1o8ub,spotify:track:2Hy81a71pPf5lPWTq1o8ub,https://api.spotify.com/v1/tracks/2Hy81a71pPf5lPWTq1o8ub,https://api.spotify.com/v1/audio-analysis/2Hy81a71pPf5lPWTq1o8ub,304613,4
19,0.241,0.97,10,-4.246,0,0.104,7.35e-05,0.0,0.904,0.621,159.93,audio_features,2dwhns14pjuxxcM5a0eOow,spotify:track:2dwhns14pjuxxcM5a0eOow,https://api.spotify.com/v1/tracks/2dwhns14pjuxxcM5a0eOow,https://api.spotify.com/v1/audio-analysis/2dwhns14pjuxxcM5a0eOow,180840,4
20,0.597,0.931,11,-4.591,0,0.0984,0.127,0.0,0.0504,0.534,92.003,audio_features,0DKNNR9iDjwfCEpMiFXMJq,spotify:track:0DKNNR9iDjwfCEpMiFXMJq,https://api.spotify.com/v1/tracks/0DKNNR9iDjwfCEpMiFXMJq,https://api.spotify.com/v1/audio-analysis/0DKNNR9iDjwfCEpMiFXMJq,235200,4
21,0.631,0.728,9,-5.185,0,0.0748,0.226,0.00118,0.0682,0.295,80.003,audio_features,31Hx0pInhn2tSq5gdhWv0d,spotify:track:31Hx0pInhn2tSq5gdhWv0d,https://api.spotify.com/v1/tracks/31Hx0pInhn2tSq5gdhWv0d,https://api.spotify.com/v1/audio-analysis/31Hx0pInhn2tSq5gdhWv0d,95587,4
22,0.199,0.955,3,-2.774,0,0.111,0.00191,2.1e-05,0.098,0.454,184.916,audio_features,6RbeLGGRcELEeKjMAplpap,spotify:track:6RbeLGGRcELEeKjMAplpap,https://api.spotify.com/v1/tracks/6RbeLGGRcELEeKjMAplpap,https://api.spotify.com/v1/audio-analysis/6RbeLGGRcELEeKjMAplpap,194800,4
