,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.346,0.862,1,-6.073,1,0.0651,0.00121,0.29,0.0889,0.135,125.002,audio_features,3F0Gn9oPVjNlfyIYaL1lo8,spotify:track:3F0Gn9oPVjNlfyIYaL1lo8,https://api.spotify.com/v1/tracks/3F0Gn9oPVjNlfyIYaL1lo8,https://api.spotify.com/v1/audio-analysis/3F0Gn9oPVjNlfyIYaL1lo8,364867,4
1,0.219,0.861,6,-4.46,0,0.044,0.000248,0.00103,0.701,0.125,111.205,audio_features,4N6Ybkc3ElERrcSWZos2eP,spotify:track:4N6Ybkc3ElERrcSWZos2eP,https://api.spotify.com/v1/tracks/4N6Ybkc3ElERrcSWZos2eP,https://api.spotify.com/v1/audio-analysis/4N6Ybkc3ElERrcSWZos2eP,278693,4
2,0.199,0.944,1,-5.262,1,0.0939,9.64e-05,0.277,0.0717,0.202,139.338,audio_features,2lIQB6Z7qUR0L545z2omVf,spotify:track:2lIQB6Z7qUR0L545z2omVf,https://api.spotify.com/v1/tracks/2lIQB6Z7qUR0L545z2omVf,https://api.spotify.com/v1/audio-analysis/2lIQB6Z7qUR0L545z2omVf,314920,4
3,0.152,0.8,7,-7.655,1,0.0584,0.000191,0.793,0.381,0.244,141.437,audio_features,0SElYK9iouvepQe6zONE7q,spotify:track:0SElYK9iouvepQe6zONE7q,https://api.spotify.com/v1/tracks/0SElYK9iouvepQe6zONE7q,https://api.spotify.com/v1/audio-analysis/0SElYK9iouvepQe6zONE7q,470213,4
4,0.155,0.921,8,-5.993,1,0.0717,1.27e-05,0.487,0.197,0.213,150.764,audio_features,1TAhxRV2XmNQwDIzDEOKl7,spotify:track:1TAhxRV2XmNQwDIzDEOKl7,https://api.spotify.com/v1/tracks/1TAhxRV2XmNQwDIzDEOKl7,https://api.spotify.com/v1/audio-analysis/1TAhxRV2XmNQwDIzDEOKl7,430453,4
5,0.349,0.925,4,-6.934,1,0.104,0.0134,0.339,0.0783,0.367,142.237,audio_features,6raRCdd8RoWvtBpzhJ1CJb,spotify:track:6raRCdd8RoWvtBpzhJ1CJb,https://api.spotify.com/v1/tracks/6raRCdd8RoWvtBpzhJ1CJb,https://api.spotify.com/v1/audio-analysis/6raRCdd8RoWvtBpzhJ1CJb,424000,4
6,0.615,0.666,2,-6.75,0,0.0363,0.0134,0.102,0.0764,0.531,126.153,audio_features,70E3VFgZfLEEZTPXWCtiQR,spotify:track:70E3VFgZfLEEZTPXWCtiQR,https://api.spotify.com/v1/tracks/70E3VFgZfLEEZTPXWCtiQR,https://api.spotify.com/v1/audio-analysis/70E3VFgZfLEEZTPXWCtiQR,589833,3
7,0.221,0.795,1,-9.261,0,0.0435,0.00293,0.735,0.149,0.0907,130.286,audio_features,1wcAxYlWOtGChf8GLPCGFk,spotify:track:1wcAxYlWOtGChf8GLPCGFk,https://api.spotify.com/v1/tracks/1wcAxYlWOtGChf8GLPCGFk,https://api.spotify.com/v1/audio-analysis/1wcAxYlWOtGChf8GLPCGFk,455493,3
8,0.245,0.652,5,-7.193,1,0.0427,3.94e-05,0.261,0.0799,0.175,119.241,audio_features,3X6cqWlADU8SVxAhfTIjYT,spotify:track:3X6cqWlADU8SVxAhfTIjYT,https://api.spotify.com/v1/tracks/3X6cqWlADU8SVxAhfTIjYT,https://api.spotify.com/v1/audio-analysis/3X6cqWlADU8SVxAhfTIjYT,426787,4
9,0.253,0.92,3,-8.262,1,0.0857,0.000256,0.0,0.146,0.205,129.876,audio_features,3jHZe8pDJHezOSRiNkR7kZ,spotify:track:3jHZe8pDJHezOSRiNkR7kZ,https://api.spotify.com/v1/tracks/3jHZe8pDJHezOSRiNkR7kZ,https://api.spotify.com/v1/audio-analysis/3jHZe8pDJHezOSRiNkR7kZ,256173,4
