,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.172,0.904,11,-4.831,1,0.0586,5.37e-05,0.229,0.267,0.302,135.149,audio_features,4yl1IpHPuXUV2MjxXy6hZn,spotify:track:4yl1IpHPuXUV2MjxXy6hZn,https://api.spotify.com/v1/tracks/4yl1IpHPuXUV2MjxXy6hZn,https://api.spotify.com/v1/audio-analysis/4yl1IpHPuXUV2MjxXy6hZn,343307,4
1,0.437,0.39,9,-9.944,1,0.046,0.63,0.000114,0.0791,0.218,118.062,audio_features,2Mor7Tp1w61mPKozLewqey,spotify:track:2Mor7Tp1w61mPKozLewqey,https://api.spotify.com/v1/tracks/2Mor7Tp1w61mPKozLewqey,https://api.spotify.com/v1/audio-analysis/2Mor7Tp1w61mPKozLewqey,391240,4
2,0.237,0.691,0,-8.148,0,0.042,0.00585,0.858,0.141,0.248,104.715,audio_features,0ff6bZqSzawPPiRMOfQWzu,spotify:track:0ff6bZqSzawPPiRMOfQWzu,https://api.spotify.com/v1/tracks/0ff6bZqSzawPPiRMOfQWzu,https://api.spotify.com/v1/audio-analysis/0ff6bZqSzawPPiRMOfQWzu,196400,1
3,0.18,0.419,5,-13.268,1,0.0308,0.000127,0.7,0.0782,0.0713,95.956,audio_features,0m3NuZiabJ4wl4HmXONyIP,spotify:track:0m3NuZiabJ4wl4HmXONyIP,https://api.spotify.com/v1/tracks/0m3NuZiabJ4wl4HmXONyIP,https://api.spotify.com/v1/audio-analysis/0m3NuZiabJ4wl4HmXONyIP,3809027,4
4,0.455,0.919,11,-4.656,1,0.0383,0.000713,0.243,0.194,0.387,158.975,audio_features,7eP2AL5TLlVUmGNmFyAAXD,spotify:track:7eP2AL5TLlVUmGNmFyAAXD,https://api.spotify.com/v1/tracks/7eP2AL5TLlVUmGNmFyAAXD,https://api.spotify.com/v1/audio-analysis/7eP2AL5TLlVUmGNmFyAAXD,274719,4
5,0.509,0.584,0,-4.907,1,0.057,0.0368,9.96e-05,0.384,0.685,170.411,audio_features,6y20BV5L33R8YXM0YuI38N,spotify:track:6y20BV5L33R8YXM0YuI38N,https://api.spotify.com/v1/tracks/6y20BV5L33R8YXM0YuI38N,https://api.spotify.com/v1/audio-analysis/6y20BV5L33R8YXM0YuI38N,278747,4
6,0.367,0.855,5,-5.93,1,0.108,0.373,0.00134,0.067,0.244,112.002,audio_features,11VOYtYJ0Bstb7QOCDDs5e,spotify:track:11VOYtYJ0Bstb7QOCDDs5e,https://api.spotify.com/v1/tracks/11VOYtYJ0Bstb7QOCDDs5e,https://api.spotify.com/v1/audio-analysis/11VOYtYJ0Bstb7QOCDDs5e,236458,4
7,0.382,0.706,2,-8.101,1,0.0447,0.00362,0.0139,0.132,0.713,147.392,audio_features,1bJ5FuncHc6wyDHBvJ0xF6,spotify:track:1bJ5FuncHc6wyDHBvJ0xF6,https://api.spotify.com/v1/tracks/1bJ5FuncHc6wyDHBvJ0xF6,https://api.spotify.com/v1/audio-analysis/1bJ5FuncHc6wyDHBvJ0xF6,302933,4
8,0.231,0.904,2,-5.506,1,0.0895,0.0304,2.74e-06,0.15,0.598,176.073,audio_features,4Mxef2s34ecbB6UtSdSf9E,spotify:track:4Mxef2s34ecbB6UtSdSf9E,https://api.spotify.com/v1/tracks/4Mxef2s34ecbB6UtSdSf9E,https://api.spotify.com/v1/audio-analysis/4Mxef2s34ecbB6UtSdSf9E,310377,4
9,0.544,0.965,0,-5.726,1,0.0814,0.000335,0.0,0.495,0.371,125.066,audio_features,3M48swVS1NBX5V4SLESekp,spotify:track:3M48swVS1NBX5V4SLESekp,https://api.spotify.com/v1/tracks/3M48swVS1NBX5V4SLESekp,https://api.spotify.com/v1/audio-analysis/3M48swVS1NBX5V4SLESekp,275774,4
