,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.778,0.59,11,-12.055,0,0.362,0.547,0.0,0.384,0.961,142.004,audio_features,3QoEOJppmERW3SqQ2GRbBE,spotify:track:3QoEOJppmERW3SqQ2GRbBE,https://api.spotify.com/v1/tracks/3QoEOJppmERW3SqQ2GRbBE,https://api.spotify.com/v1/audio-analysis/3QoEOJppmERW3SqQ2GRbBE,198577,4
1,0.887,0.501,1,-7.982,1,0.419,0.498,0.0,0.122,0.403,145.995,audio_features,4o2Iwvz9M7qdUUaCmfrZAQ,spotify:track:4o2Iwvz9M7qdUUaCmfrZAQ,https://api.spotify.com/v1/tracks/4o2Iwvz9M7qdUUaCmfrZAQ,https://api.spotify.com/v1/audio-analysis/4o2Iwvz9M7qdUUaCmfrZAQ,163605,4
2,0.815,0.746,8,-8.917,1,0.336,0.228,0.0,0.138,0.857,145.9,audio_features,37wn8ryvFgntFspsqSGuWn,spotify:track:37wn8ryvFgntFspsqSGuWn,https://api.spotify.com/v1/tracks/37wn8ryvFgntFspsqSGuWn,https://api.spotify.com/v1/audio-analysis/37wn8ryvFgntFspsqSGuWn,110160,4
3,0.805,0.548,11,-9.504,0,0.321,0.526,0.0,0.192,0.712,142.035,audio_features,6GkHHQgXlQjjDKARkNxCcj,spotify:track:6GkHHQgXlQjjDKARkNxCcj,https://api.spotify.com/v1/tracks/6GkHHQgXlQjjDKARkNxCcj,https://api.spotify.com/v1/audio-analysis/6GkHHQgXlQjjDKARkNxCcj,157617,4
4,0.693,0.665,1,-9.352,1,0.344,0.179,0.0,0.414,0.57,143.958,audio_features,3IQclwC9RNGpi0y4WwNbpm,spotify:track:3IQclwC9RNGpi0y4WwNbpm,https://api.spotify.com/v1/tracks/3IQclwC9RNGpi0y4WwNbpm,https://api.spotify.com/v1/audio-analysis/3IQclwC9RNGpi0y4WwNbpm,280029,4
5,0.914,0.708,1,-10.565,1,0.444,0.196,0.0,0.0461,0.675,145.014,audio_features,0Ni22m2yn0Kph6eomfeIQz,spotify:track:0Ni22m2yn0Kph6eomfeIQz,https://api.spotify.com/v1/tracks/0Ni22m2yn0Kph6eomfeIQz,https://api.spotify.com/v1/audio-analysis/0Ni22m2yn0Kph6eomfeIQz,200276,4
6,0.847,0.538,1,-9.376,1,0.475,0.173,0.0,0.141,0.667,144.088,audio_features,7qKWse7rBLRpC8XohnSHmX,spotify:track:7qKWse7rBLRpC8XohnSHmX,https://api.spotify.com/v1/tracks/7qKWse7rBLRpC8XohnSHmX,https://api.spotify.com/v1/audio-analysis/7qKWse7rBLRpC8XohnSHmX,173491,4
7,0.728,0.609,1,-8.741,1,0.339,0.422,0.00998,0.0824,0.732,143.06,audio_features,0FsJnpcu4POOKcV4HZ33IP,spotify:track:0FsJnpcu4POOKcV4HZ33IP,https://api.spotify.com/v1/tracks/0FsJnpcu4POOKcV4HZ33IP,https://api.spotify.com/v1/audio-analysis/0FsJnpcu4POOKcV4HZ33IP,151056,4
8,0.87,0.474,11,-14.885,0,0.513,0.175,2.44e-05,0.161,0.533,139.966,audio_features,0c3gxKm0mGK2l4gfGFFdMg,spotify:track:0c3gxKm0mGK2l4gfGFFdMg,https://api.spotify.com/v1/tracks/0c3gxKm0mGK2l4gfGFFdMg,https://api.spotify.com/v1/audio-analysis/0c3gxKm0mGK2l4gfGFFdMg,253753,4
9,0.746,0.788,6,-4.098,1,0.208,0.088,0.0,0.391,0.782,144.942,audio_features,7Iilu8fFb1yiwdX7txdcCZ,spotify:track:7Iilu8fFb1yiwdX7txdcCZ,https://api.spotify.com/v1/tracks/7Iilu8fFb1yiwdX7txdcCZ,https://api.spotify.com/v1/audio-analysis/7Iilu8fFb1yiwdX7txdcCZ,110000,4
10,0.824,0.648,0,-7.839,0,0.185,0.183,0.0016,0.157,0.333,144.106,audio_features,2TKrKWen6PyP6PsdW8ZNwl,spotify:track:2TKrKWen6PyP6PsdW8ZNwl,https://api.spotify.com/v1/tracks/2TKrKWen6PyP6PsdW8ZNwl,https://api.spotify.com/v1/audio-analysis/2TKrKWen6PyP6PsdW8ZNwl,200000,4
