,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.497,0.85,6,-6.039,0,0.0279,0.0122,0.15,0.24,0.853,78.569,audio_features,7v1tCi9eKKrmuXSzdWBAnU,spotify:track:7v1tCi9eKKrmuXSzdWBAnU,https://api.spotify.com/v1/tracks/7v1tCi9eKKrmuXSzdWBAnU,https://api.spotify.com/v1/audio-analysis/7v1tCi9eKKrmuXSzdWBAnU,187178,4
1,0.68,0.727,5,-11.867,0,0.0862,0.477,0.165,0.101,0.225,166.121,audio_features,7baaaec4HbUmq8h9h6nm4h,spotify:track:7baaaec4HbUmq8h9h6nm4h,https://api.spotify.com/v1/tracks/7baaaec4HbUmq8h9h6nm4h,https://api.spotify.com/v1/audio-analysis/7baaaec4HbUmq8h9h6nm4h,184842,4
2,0.388,0.898,2,-6.403,0,0.186,0.194,0.0932,0.36,0.413,92.948,audio_features,6328TBDxo544xYXzisZ2C3,spotify:track:6328TBDxo544xYXzisZ2C3,https://api.spotify.com/v1/tracks/6328TBDxo544xYXzisZ2C3,https://api.spotify.com/v1/audio-analysis/6328TBDxo544xYXzisZ2C3,210136,4
3,0.481,0.727,0,-11.452,1,0.0407,0.0213,0.78,0.299,0.738,141.781,audio_features,1a0naAlCwOaSQL7ykIbpXD,spotify:track:1a0naAlCwOaSQL7ykIbpXD,https://api.spotify.com/v1/tracks/1a0naAlCwOaSQL7ykIbpXD,https://api.spotify.com/v1/audio-analysis/1a0naAlCwOaSQL7ykIbpXD,99267,4
4,0.345,0.419,8,-15.063,0,0.213,0.000404,0.823,0.0952,0.448,93.868,audio_features,5So7dKqA4iJRTIW9j9MW24,spotify:track:5So7dKqA4iJRTIW9j9MW24,https://api.spotify.com/v1/tracks/5So7dKqA4iJRTIW9j9MW24,https://api.spotify.com/v1/audio-analysis/5So7dKqA4iJRTIW9j9MW24,105575,4
5,0.612,0.637,6,-7.092,1,0.0282,0.223,0.0605,0.721,0.568,106.454,audio_features,25mkzuhS84HwKiISPNWLc7,spotify:track:25mkzuhS84HwKiISPNWLc7,https://api.spotify.com/v1/tracks/25mkzuhS84HwKiISPNWLc7,https://api.spotify.com/v1/audio-analysis/25mkzuhS84HwKiISPNWLc7,157571,4
6,0.598,0.783,7,-8.15,0,0.0934,0.0286,0.748,0.38,0.561,153.958,audio_features,0GTIipRViLbQiJAL7nkezG,spotify:track:0GTIipRViLbQiJAL7nkezG,https://api.spotify.com/v1/tracks/0GTIipRViLbQiJAL7nkezG,https://api.spotify.com/v1/audio-analysis/0GTIipRViLbQiJAL7nkezG,252468,4
7,0.477,0.532,11,-12.215,0,0.0277,0.128,0.467,0.249,0.555,110.786,audio_features,5pOrzyhFbu8CxZLdAg69aL,spotify:track:5pOrzyhFbu8CxZLdAg69aL,https://api.spotify.com/v1/tracks/5pOrzyhFbu8CxZLdAg69aL,https://api.spotify.com/v1/audio-analysis/5pOrzyhFbu8CxZLdAg69aL,117861,3
8,0.378,0.457,4,-8.478,0,0.0363,0.0189,0.688,0.103,0.0714,134.604,audio_features,449QPoLiDUQEdCrVGUaPQu,spotify:track:449QPoLiDUQEdCrVGUaPQu,https://api.spotify.com/v1/tracks/449QPoLiDUQEdCrVGUaPQu,https://api.spotify.com/v1/audio-analysis/449QPoLiDUQEdCrVGUaPQu,149333,4
9,0.64,0.478,0,-13.234,1,0.027,0.227,0.881,0.123,0.357,93.816,audio_features,3WYaJYqieIxiMSKGJ9uH8t,spotify:track:3WYaJYqieIxiMSKGJ9uH8t,https://api.spotify.com/v1/tracks/3WYaJYqieIxiMSKGJ9uH8t,https://api.spotify.com/v1/audio-analysis/3WYaJYqieIxiMSKGJ9uH8t,147191,4
10,0.543,0.71,11,-10.022,1,0.044,0.0466,0.669,0.393,0.158,90.049,audio_features,7HUr1R8en1yWAstHHDxy5Q,spotify:track:7HUr1R8en1yWAstHHDxy5Q,https://api.spotify.com/v1/tracks/7HUr1R8en1yWAstHHDxy5Q,https://api.spotify.com/v1/audio-analysis/7HUr1R8en1yWAstHHDxy5Q,196500,4
11,0.224,0.667,8,-5.262,1,0.0365,0.0314,0.881,0.119,0.198,87.275,audio_features,2nY4PWhjOIXjamcRk5UsUu,spotify:track:2nY4PWhjOIXjamcRk5UsUu,https://api.spotify.com/v1/tracks/2nY4PWhjOIXjamcRk5UsUu,https://api.spotify.com/v1/audio-analysis/2nY4PWhjOIXjamcRk5UsUu,234833,4
12,0.67,0.797,1,-6.175,1,0.0295,0.0526,0.562,0.126,0.582,96.528,audio_features,5eS6YlnwGoXYW9vpjWn4Mi,spotify:track:5eS6YlnwGoXYW9vpjWn4Mi,https://api.spotify.com/v1/tracks/5eS6YlnwGoXYW9vpjWn4Mi,https://api.spotify.com/v1/audio-analysis/5eS6YlnwGoXYW9vpjWn4Mi,221263,4
13,0.573,0.799,10,-7.465,0,0.027,0.00496,0.635,0.0887,0.621,98.61,audio_features,7HqfobpE6EEW6P5qUQ7Tzz,spotify:track:7HqfobpE6EEW6P5qUQ7Tzz,https://api.spotify.com/v1/tracks/7HqfobpE6EEW6P5qUQ7Tzz,https://api.spotify.com/v1/audio-analysis/7HqfobpE6EEW6P5qUQ7Tzz,224246,4
14,0.624,0.89,5,-7.962,0,0.0404,0.0511,0.891,0.29,0.524,115.963,audio_features,4gSUfKp9cWo1V4mjAxdGyk,spotify:track:4gSUfKp9cWo1V4mjAxdGyk,https://api.spotify.com/v1/tracks/4gSUfKp9cWo1V4mjAxdGyk,https://api.spotify.com/v1/audio-analysis/4gSUfKp9cWo1V4mjAxdGyk,219201,4
15,0.848,0.294,10,-14.771,0,0.166,0.242,0.812,0.358,0.557,90.004,audio_features,581LGl1wK66VxvnEJyAsrx,spotify:track:581LGl1wK66VxvnEJyAsrx,https://api.spotify.com/v1/tracks/581LGl1wK66VxvnEJyAsrx,https://api.spotify.com/v1/audio-analysis/581LGl1wK66VxvnEJyAsrx,240000,4
16,0.361,0.697,5,-6.639,0,0.0422,0.0104,0.00531,0.117,0.456,106.709,audio_features,7FlcL67fBmzJdTPahscXUz,spotify:track:7FlcL67fBmzJdTPahscXUz,https://api.spotify.com/v1/tracks/7FlcL67fBmzJdTPahscXUz,https://api.spotify.com/v1/audio-analysis/7FlcL67fBmzJdTPahscXUz,214500,5
17,0.51,0.457,6,-10.722,1,0.0238,0.0235,0.865,0.152,0.162,76.865,audio_features,5RgHbNthYZwXmWBcmMnzYU,spotify:track:5RgHbNthYZwXmWBcmMnzYU,https://api.spotify.com/v1/tracks/5RgHbNthYZwXmWBcmMnzYU,https://api.spotify.com/v1/audio-analysis/5RgHbNthYZwXmWBcmMnzYU,276327,4
18,0.629,0.65,2,-6.769,1,0.0655,0.192,0.845,0.142,0.539,170.038,audio_features,3KDLbDzWeQSpG57zjiFckX,spotify:track:3KDLbDzWeQSpG57zjiFckX,https://api.spotify.com/v1/tracks/3KDLbDzWeQSpG57zjiFckX,https://api.spotify.com/v1/audio-analysis/3KDLbDzWeQSpG57zjiFckX,242824,4
19,0.67,0.738,7,-11.655,0,0.0506,0.401,0.819,0.145,0.566,82.483,audio_features,7wbqB3DYYciRVgw5silwce,spotify:track:7wbqB3DYYciRVgw5silwce,https://api.spotify.com/v1/tracks/7wbqB3DYYciRVgw5silwce,https://api.spotify.com/v1/audio-analysis/7wbqB3DYYciRVgw5silwce,182678,4
20,0.506,0.599,1,-6.979,1,0.435,0.106,0.0,0.183,0.839,83.961,audio_features,0YQ3azKaep6RFaHXso9lOt,spotify:track:0YQ3azKaep6RFaHXso9lOt,https://api.spotify.com/v1/tracks/0YQ3azKaep6RFaHXso9lOt,https://api.spotify.com/v1/audio-analysis/0YQ3azKaep6RFaHXso9lOt,187263,4
21,0.615,0.829,11,-7.781,0,0.0323,0.00158,0.559,0.0976,0.307,125.016,audio_features,7nRKrNReQ406gBnMhKraxD,spotify:track:7nRKrNReQ406gBnMhKraxD,https://api.spotify.com/v1/tracks/7nRKrNReQ406gBnMhKraxD,https://api.spotify.com/v1/audio-analysis/7nRKrNReQ406gBnMhKraxD,157635,4
22,0.451,0.748,6,-7.719,0,0.0655,0.000463,0.274,0.391,0.833,85.025,audio_features,5R6l0pIwuRyF4AiYZ9Rdpv,spotify:track:5R6l0pIwuRyF4AiYZ9Rdpv,https://api.spotify.com/v1/tracks/5R6l0pIwuRyF4AiYZ9Rdpv,https://api.spotify.com/v1/audio-analysis/5R6l0pIwuRyF4AiYZ9Rdpv,103930,4
23,0.423,0.771,1,-8.259,1,0.0665,0.000208,0.852,0.371,0.194,90.1,audio_features,0Ubp7kMZ6MWZIL8qkloYub,spotify:track:0Ubp7kMZ6MWZIL8qkloYub,https://api.spotify.com/v1/tracks/0Ubp7kMZ6MWZIL8qkloYub,https://api.spotify.com/v1/audio-analysis/0Ubp7kMZ6MWZIL8qkloYub,172375,4
24,0.586,0.985,8,-5.457,0,0.0688,0.0581,0.927,0.0592,0.968,196.003,audio_features,22ZPueAG5tq036nOJLg2nh,spotify:track:22ZPueAG5tq036nOJLg2nh,https://api.spotify.com/v1/tracks/22ZPueAG5tq036nOJLg2nh,https://api.spotify.com/v1/audio-analysis/22ZPueAG5tq036nOJLg2nh,180750,4
25,0.421,0.895,9,-9.842,0,0.0389,0.000519,0.663,0.322,0.866,160.082,audio_features,0E6nCGzgzX7RWiTMhuv4sb,spotify:track:0E6nCGzgzX7RWiTMhuv4sb,https://api.spotify.com/v1/tracks/0E6nCGzgzX7RWiTMhuv4sb,https://api.spotify.com/v1/audio-analysis/0E6nCGzgzX7RWiTMhuv4sb,193500,4
26,0.495,0.748,5,-13.246,0,0.0351,0.0389,0.898,0.282,0.685,93.859,audio_features,4ZmX61pdJ79jgGL6z5jFXd,spotify:track:4ZmX61pdJ79jgGL6z5jFXd,https://api.spotify.com/v1/tracks/4ZmX61pdJ79jgGL6z5jFXd,https://api.spotify.com/v1/audio-analysis/4ZmX61pdJ79jgGL6z5jFXd,109819,4
27,0.383,0.512,8,-17.868,1,0.0601,0.0951,0.892,0.115,0.293,170.034,audio_features,3DSiIBtYwtRWDZNa80RUJ0,spotify:track:3DSiIBtYwtRWDZNa80RUJ0,https://api.spotify.com/v1/tracks/3DSiIBtYwtRWDZNa80RUJ0,https://api.spotify.com/v1/audio-analysis/3DSiIBtYwtRWDZNa80RUJ0,206158,4
28,0.571,0.805,10,-6.413,0,0.196,0.000118,0.816,0.0672,0.61,101.01,audio_features,2FDJTo05zVmswy9x1FjlAa,spotify:track:2FDJTo05zVmswy9x1FjlAa,https://api.spotify.com/v1/tracks/2FDJTo05zVmswy9x1FjlAa,https://api.spotify.com/v1/audio-analysis/2FDJTo05zVmswy9x1FjlAa,228119,4
